id,text_x,text_top,text_w,text_h,ocr,score
36860,0.2867,0.1054,0.7133,0.3501,BLOODSLENING Babes FrOm BuRbanK,0.65
36883,-1.0,-1.0,-1.0,-1.0,,0.0
37019,0.1688,0.6966,0.6559,0.2596,DR. JEKYIL MSHYDE AND,0.8897
37376,0.0122,0.8161,0.9697,0.0845,THE CUBE,0.3963
37409,-1.0,-1.0,-1.0,-1.0,,0.0
38503,0.0385,0.5003,0.9279,0.1972,CHRISTINA'S HOUSE,0.3369
38753,0.0279,0.0694,0.9472,0.0924,PASSION PLAY,0.4365
38946,0.0,0.2792,1.0,0.2445,TERROR in the,0.4357
39006,0.2675,0.4538,0.6792,0.248,CRUEL PASSION,0.3181
39392,-1.0,-1.0,-1.0,-1.0,,0.0
39437,0.009,0.7437,0.9741,0.0989,BELOVED,0.3376
39704,0.0367,0.6642,0.9633,0.3064,Phantag OF THE MEETS The,1.6426
39893,0.1523,0.7962,0.6843,0.152,The Nanny,0.5759
39925,0.0,0.7665,1.0,0.083,"""FEAR IN THE NIGHT""",0.4107
39997,0.146,0.6931,0.7861,0.2095,Meet the HOLLOWHEADS,0.901
40065,0.4349,0.426,0.5403,0.2323,TRIP with the TEACHER,0.2335
40854,0.1987,0.3868,0.6349,0.0731,PORNOGRAPHY,0.0652
40931,0.1139,0.5879,0.8247,0.2984,"OpenCam A film by Robert Gaston ""The hunkiest cast of the year... a provocative ",1.2949
41018,0.0558,0.5106,0.7601,0.3015,IN THE ATTIC starring JACK PALANCE,0.73
41443,0.0041,0.5744,0.9935,0.2612,18 RESURRECTING STREET THE WALKER,0.8237
41570,0.0,0.0695,0.579,0.2977,ACNE,0.974
41740,0.1646,0.6976,0.6611,0.1151,ALONE,0.3952
42530,0.4588,0.6775,0.4081,0.1394,"MATTER ""WHAT'S WITH THE HELEN?""",0.2777
43337,0.0,0.4068,0.6193,0.1345,of the PLEASURE DOME KENNETH ANGER,0.1324
43587,0.0542,0.8344,0.916,0.1614,THE UNINVITED,0.8259
43629,0.3314,0.5145,0.4426,0.1601,bug,0.1117
44027,0.0073,0.085,0.9736,0.1217,"MY SON, MY SON, WHAT HAVE YE DONE",0.6418
44632,0.0,0.0,0.9568,0.3108,JACK O'LANTERN,1.7147
44692,-1.0,-1.0,-1.0,-1.0,,0.0
44954,0.0083,0.4385,0.9814,0.2336,A FILM BY GINA TELAROLI A LITTLE DEATH,0.4399
45961,0.0794,0.169,0.8459,0.2649,ROSENCRANTZ & GUILDENSTERN ARE,0.6232
46120,0.0182,0.0961,0.9525,0.1678,GREEN RIVER K L E R,0.8477
46507,0.0,0.1698,1.0,0.2774,What's wrong with these people ?... EVERYTHING!!! Torture Me No More,0.9108
46759,0.2124,0.7903,0.5576,0.1367,silent scream,0.4106
46878,-1.0,-1.0,-1.0,-1.0,,0.0
