id,title,year,genre_names
301156,Strawinsky and the Mysterious House,2012,"Animation, Family, Horror"
282152,The Gravedigger,2012,"Animation, Fantasy, Horror"
999929,The Beast From Twenty Zillion Years Ago,2012,"Animation, Horror, Science Fiction"
133473,All Night Halloween Party,2012,"Animation, Comedy, Horror"
734088,Another: The Other - Inga,2012,"Animation, Horror"
133121,Resident Evil: Damnation,2012,"Action, Animation, Horror"
597181,The Green Marker Scare,2012,"Animation, Crime, Horror, Mystery, Thriller"
133248,Padak,2012,"Animation, Drama, Horror, Music, Thriller"
545615,Kappa,2012,"Animation, Comedy, Horror"
615895,Ninceto 90,2012,"Action, Animation, Crime, Documentary, Drama, Family, Fantasy, History, Horror, Music, Mystery, Romance, Science Fiction, Thriller, War, Western"
169314,Where the Dead Go to Die,2012,"Animation, Fantasy, Horror"
188541,Giant God Warrior Appears in Tokyo,2012,"Action, Animation, Horror, Science Fiction"
838591,Lychee Light Club,2012,"Animation, Comedy, Drama, Horror, Romance"
838616,Screaming Class,2012,"Animation, Horror"
902987,Bacterial Contamination,2012,"Animation, Horror, Music"
515627,C.L.A.Y.,2012,"Animation, Horror"
664483,The Crow and The Raven,2012,"Animation, Horror"
