id,title,original_title,year,year_mode
1725258,"Those Days Gone By, Forget Them and Sleep","Those Days Gone By, Forget Them and Sleep",2025,none
1727787,Found Footage #1,Found Footage #1,2024,none
1730682,Lifeforms,Lifeforms,2025,none
1734127,As Dark As Us,As Dark As Us,2024,none
1250854,Duped (The Jezbel Experience),Duped (The Jezbel Experience),2026,none
1282686,Whispered Voices,Whispered Voices,2026,none
1445246,REEL,REEL,2026,none
1465155,Amityville Alone,Amityville Alone,2026,none
1471251,Intrusion,Intrusion,2026,none
1530929,Over the Rainbow,Over the Rainbow,2026,none
1532053,Samhain,Samhain,2026,none
1545812,Watergate,Watergate,2026,none
1573153,Fall Dies,Fall Dies,2026,none
1606871,"Knock, Knock, Knock","Knock, Knock, Knock",2026,none
1606969,Banana: The Whole Bunchy Affair,Banana: The Whole Bunchy Affair,2026,none
1607468,Into the Spiral,Into the Spiral,2026,none
1615290,The Nursing Home,The Nursing Home,2026,none
1622520,biarkan aku ganti,biarkan aku ganti,2026,none
1625875,The Chattanooga Syndrome - NOCLIP 3,The Chattanooga Syndrome - NOCLIP 3,2026,none
1627299,Mapleshade Stories,Mapleshade Stories,2026,none
1637260,Hoppy Ending,Hoppy Ending,2026,none
1637971,The Colored Experiment (Film Edition),The Colored Experiment (Film Edition),2026,none
1638528,The Coohatch,The Coohatch,2026,none
1640477,G2.22,G2.22,2026,none
1643458,when i go i want it to hurt,when i go i want it to hurt,2026,none
1646522,Come In From the Cold,Come In From the Cold,2026,none
1646650,Kodak,Kodak,2026,none
1649517,What Lurks In the Shadows,What Lurks In the Shadows,2026,none
1654803,Channel 9 FM,Channel 9 FM,2026,none
1659399,House of Leaves,House of Leaves,2026,none
1660952,My Body is a Prison,My Body is a Prison,2026,none
1661127,She Fell Asleep and Dreamt of a Library,She Fell Asleep and Dreamt of a Library,2026,none
1664807,Don't Make Friends,Don't Make Friends,2026,none
