id,title,year,tconst,titleType,primaryTitle,startYear,match_reason
1351711,The Dead of Night,2024,tt30429463,movie,The Dead of Night,2024,horror_disambiguated
1354031,Witchcast,2024,tt33371774,movie,Witchcast,2024,unique
1355324,States of Mind,2024,tt23745590,movie,States of Mind,2024,unique
1361605,Diary Of A Necro Piggy,2024,tt33384242,movie,Diary of A Necro Piggy,2024,unique
1362426,The Legend of Crick Foot,2024,tt30828117,movie,The Legend of Crick Foot,2024,unique
1363818,Souls of the Damned,2024,tt33182994,movie,Souls of the Damned,2024,unique
1369432,Hellfire Hades II: 1980's Voodoo,2024,tt33828968,movie,Hellfire Hades II: 1980's Voodoo,2024,unique
1373409,Dead In The Water: The Attempted Making Of In A Violent Nature,2024,tt43382969,video,Dead in the Water: The (Attempted) Making of 'In a Violent Nature',2024,unique
1380545,The Superbloom,2024,tt27798637,movie,Superbloom,2025,unique_year_fuzzy
1380845,Flesh of the Unforgiven,2025,tt32421430,movie,Flesh of the Unforgiven,2025,unique
1383294,The Secrets We Keep,2024,tt30803479,movie,The Secrets We Keep,2024,unique
1385379,ABYSS,2024,tt29257351,movie,Abyss,2024,unique
1395697,Tragic,2024,tt14727382,movie,Tragic,2024,unique
1397597,Voodoonaut,2024,tt34890595,movie,Voodoonaut,2024,unique
1403764,The Beast That Ate Waverly,2024,tt37273198,movie,The Beast That Ate Waverly,2024,unique
1406289,The Man-Tis,2024,tt35230390,movie,The Man-Tis,2024,unique
1411059,They Live Behind The Curtains,2025,tt35255677,movie,They Live Behind the Curtains,2025,unique
1415064,Freezer Baby,2024,tt36456082,video,Freezer Baby,2024,unique
1415664,Vignettes,2025,tt37429255,movie,Vignettes,2025,unique
1423034,Video Maniacs,2025,tt43451174,movie,Video Maniacs,2025,unique
1427726,Dunwich Journals,2024,tt36934602,movie,Dunwich Journals,2024,unique
1433497,Scarytales And Deadtime Stories,2024,tt35711383,movie,Scarytales and Deadtime Stories,2024,unique
1433553,Your Loving Mother,2024,tt35713735,movie,Your Loving Mother,2024,unique
1434001,EXIT MEDEA,2025,tt38024571,movie,Exit Medea,2025,unique
1436264,Transformers: Terminal,2025,tt38057105,movie,Transformers: Terminal,2025,unique
1437414,The Reckoning,2025,tt26537202,movie,The Reckoning,2025,horror_disambiguated
1445184,The Last Home,2025,tt33380361,movie,The Last Home,2025,unique
1447526,The Lost Episode,2025,tt36367372,movie,The Lost Episode,2025,unique
1450861,Devil's Punchbowl: Aftermath,2025,tt33305083,movie,Devil's Punchbowl: Aftermath,2025,unique
1456104,Mary's Lake,2025,tt36986121,movie,Mary's Lake,2025,unique
1458416,Cutlery,2025,tt36415058,movie,Cutlery,2025,unique
1462074,Sugarloaf: Home Sweet Home,2025,tt28185017,movie,Sugarloaf: Home Sweet Home,2024,unique_year_fuzzy
1462648,The Purpose,2025,tt35518650,movie,The Purpose,2024,unique_year_fuzzy
1472364,Sins In Saptak,2025,tt37055803,movie,Sins in Saptak,2025,unique
1477673,Amityville Sasquatch Vs Kreepy Klown,2025,tt36968134,movie,Amityville Sasquatch Vs Kreepy Klown,2025,unique
1484625,Little Bo Creep,2025,tt36997632,movie,Little Bo Creep,2025,unique
1489665,Radiohead X Nosferatu: A Symphony of Horror,2025,tt38266746,movie,Radiohead X Nosferatu: A Symphony of Horror,2024,unique_year_fuzzy
1493296,You Know What You Are,2025,tt37460971,movie,You Know What You Are,2025,unique
1493460,Girl in the Refrigerator,2025,tt37433886,movie,Girl in the Refrigerator,2025,unique
1501578,Baleful,2024,tt42846174,movie,Baleful,2025,unique_year_fuzzy
1502619,The Flayed - Part 2,2025,tt38200975,movie,Les Écorchés - Partie 2,2025,unique
1505147,Ms. Kanyin,2025,tt37510102,movie,Ms. Kanyin,2025,unique
1512024,Foxhollow,2025,tt37546201,movie,Foxhollow,2025,unique
1514057,The Fortunate Ones,2025,tt37955760,movie,The Fortunate Ones,2025,unique
1518462,Church Swine,2025,tt37897431,movie,Church Swine,2025,unique
1526380,Bela Belara's A Vampire,2025,tt39160427,movie,Bela Belara's A Vampire,2025,unique
1527080,The Dim,2023,tt26907002,movie,The Dim,2023,unique
1535021,Bet Dead Casino,2025,tt12678274,movie,Bet Dead Casino,2025,unique
1536773,Phantasmatapes,2025,tt41275986,movie,Phantasmatapes,2025,unique
1545500,Under My Skin,2025,tt38268434,movie,Under My Skin,2025,unique
1546709,Fatal Detour,2025,tt32633150,movie,Fatal Detour,2025,unique
1547446,The Rake,2024,tt36409249,movie,The Rake,2024,unique
1547602,The Dread,2025,tt38351038,movie,The Dread,2025,unique
1553513,Snow Bunny Chronicle: Looks Do Kill,2025,tt38532074,movie,Snow Bunny Chronicle: Looks Do Kill,2025,unique
1556300,True American Horror,2023,tt29574920,movie,True American Horror,2023,unique
1557115,Home Videos,2025,tt38595440,movie,Home Videos,2025,unique
1558218,Scream a Little Dream,2025,tt37152799,movie,Scream a Little Dream,2025,unique
1559160,The Gift of Pain,2025,tt36016563,movie,The Gift of Pain,2025,unique
1561101,"""CUT!'",2025,tt34038187,movie,Cut,2025,unique
1577871,The Women Eaters,2025,tt39291017,movie,The Women Eaters,2025,unique
1578489,Afraid?,2025,tt22640790,movie,What Are You Afraid Of?,2025,unique
1586264,The Strike,2025,tt30012724,movie,The Strike,2024,unique_year_fuzzy
1586673,Golem.AI,2025,tt43499258,movie,Golem.AI,2025,unique
1591121,Christmas Bloodbath,2024,tt42092536,movie,Christmas Bloodbath,2024,unique
1591289,FEVER DREAM,2023,tt30395629,movie,Fever Dream,2023,unique
1598981,Don't Come Here,2025,tt39195061,movie,Don't Come Here,2025,horror_disambiguated
1608831,Sight: Unseen,2025,tt8773630,movie,Sight Unseen,2025,unique
1613246,Razor Blade Smile: Vampires Forever,2025,tt37740296,movie,Razor Blade Smile: Vampires Forever,2025,unique
1630853,Michael and Ghostface: Best Buds THE MOVIE,2023,tt30058002,movie,Michael and Ghostface: Best Buds the Movie,2023,unique
1632927,Bloody Anniversary,2025,tt13476828,movie,Bloody Anniversary,2025,unique
1644083,Tromasploitation,2023,tt26276110,movie,Tromasploitation,2023,unique
1030789,Doctor Deathface,2026,tt20159738,movie,Doctor Deathface,2026,unique
1233883,Epitaph,2026,tt18258506,movie,Epitaph,2026,unique
1415665,Captive,2026,tt43663567,movie,Captive,2026,unique
1515872,Sleepwalker,2026,tt35672651,movie,Sleepwalker,2026,unique
1522191,FaceTape,2026,tt37893617,movie,FaceTape,2026,unique
1590154,The Fall of Barsisa,2026,tt35886386,movie,The Fall of Barsisa,2026,unique
1611727,Welcome to G-Town,2026,tt39395157,movie,Welcome to G-Town,2026,unique
1612923,Demon Hunters,2026,tt31409599,movie,Demon Hunters,2025,unique_year_fuzzy
1621448,Peril on the Canvas,2026,tt39444701,movie,Peril on the Canvas,2026,unique
1630001,Infected,2026,tt41232453,movie,Infected,2026,unique
1631143,Life at Sandy's,2026,tt40485248,movie,Life at Sandy's,2026,unique
1632808,Do Not Open,2026,tt38345999,movie,Do Not Open,2026,unique
1635530,Princess of the Murder,2026,tt38283758,movie,Princess of the Murder,2025,unique_year_fuzzy
1636154,Peak Form,2026,tt39901547,movie,Peak Form,2026,unique
1647690,The Mid-Night Driver,2026,tt39368460,movie,The Mid-Night Driver,2026,unique
1655738,Night Terrors: Blood Date on Trade Street,2026,tt41517402,movie,Night Terrors: Blood Date on Trade Street,2026,unique
1661185,The Unseen,2026,tt27330757,movie,Unseen,2026,unique
1664162,U/S/B,2026,tt41472224,movie,U/S/B,2026,unique
1689220,Spiralbound,2026,tt42718770,movie,Spiralbound,2026,unique
1705888,Groundskeeper,2026,tt7370586,movie,The Groundskeeper,2027,unique_year_fuzzy
1719380,No Way Home,2026,tt43613569,movie,No Way Home,2026,unique
1722712,Redacted,2026,tt40525030,video,Redacted,2025,unique_year_fuzzy
1724072,Of Womb,2026,tt43677345,movie,Of Womb,2026,unique
1727409,Jodi,2026,tt43685231,movie,Jodi,2026,unique
1729725,Suppress Us,2026,tt43647987,movie,Suppress Us,2026,unique
1735325,JAWBREAKER,2026,tt40338266,movie,Jawbreaker,2025,unique_year_fuzzy
1665172,ROOMMATES,2027,tt37540875,movie,Roommates,2026,unique_year_fuzzy
29765,Dead Things,1997,tt13233882,movie,Dead Things,1997,unique
65535,No Entry,2011,tt1932630,movie,Dilarang Masuk,2011,unique
198572,Hell Walks the Earth,2008,tt5460014,movie,Hell Walks the Earth,2008,unique
227739,Drako,2013,tt31889283,movie,Drako,2013,unique
232406,Lethal Nightmare,1991,tt10080214,movie,Lethal Nightmare,1991,unique
268102,Zombie Planet 3: Kane Chronicles,2013,tt6914570,video,Zombie Planet 3: Kane Chronicles,2013,unique
303204,The Businessman,2014,tt3529662,movie,The Businessman,2014,unique
325617,Lisa Cook's Deadly Workout,1994,tt38941656,video,Lisa Cook's Deadly Workout,1994,unique
