id,cluster,file_path,is_rep,is_canonical,vote_average,vote_count,iso_639_1
948,3,/mQbjLbYYT4KEV8xQCLo82fwVoPe.jpg,1,0,4.0,19,en
948,4,/cNJ9DO2v9Pv7mV9qiLkC58KtrnH.jpg,1,0,3.468,16,en
964,0,/iIBlxPcZUVlPysVihwLxf977sKL.jpg,1,1,5.682,11,en
964,1,/itfhSxbIgsan85iY1NrquIx7qxo.jpg,1,0,6.58,25,en
964,2,/tSfqya2f7G346GYQh8qhzzBSyhL.jpg,1,0,5.778,9,en
964,3,/bpJKYjCu64wrI40LTAEcKve4bKD.jpg,1,0,1.714,7,en
964,4,/fLuZvaCdtf5R45Abq6lj3rocxjR.jpg,1,0,1.75,2,en
985,0,/yeI2w95TLmcQYXXehTEXh2Hr3QU.jpg,1,1,6.2,10,en
985,1,/jlQNYwd1mIytTF83fSsq47c2Y3z.jpg,1,0,3.334,1,en
985,2,/sg9T7Xf7UYI3iZF6SzPmaVlN7gQ.jpg,1,0,3.334,2,en
985,3,/3dWHKfnGImUEyNHEKLPMFHgpSjx.jpg,1,0,3.334,1,
985,4,/pL8hUBERBXYQeNXzb4yVC58Pt6L.jpg,1,0,3.334,2,en
1091,0,/cc6eihrXC5vQX7xhudtWzRnzEqG.jpg,1,0,4.412,17,en
1091,1,/hmc0VEVKTw9ioTHZx2pb6fMA5jM.jpg,1,0,4.154,13,en
1091,2,/a9RjXOIIB56k2rGoL3Fk3nRHHHQ.jpg,1,0,5.778,18,en
1091,3,/tzGY49kseSE9QAKk47uuDGwnSCu.jpg,1,0,6.438,32,en
1091,4,/ob1NaOSYDC4iBaFkTgIUecaMFGT.jpg,1,1,8.034,5,en
1248,0,/nIeD74kbJNeGAEbCHbTUfGupJ00.jpg,1,0,1.75,4,en
1248,1,/olk8Eds4fXRyLBWLBvazLzZdR2n.jpg,1,0,3.334,1,en
1248,2,/7FTDMQoac0uqJUquZk4KenDzLMZ.jpg,1,1,6.312,8,en
1248,3,/brdh6FppR9AQidr9kGQEaZUtASs.jpg,1,0,1.75,2,en
