id,title,original_title,year,reason,n_candidates
273425,Cara Mengundang Hantu,Cara Mengundang Hantu,2014,no_title_year_match,0
276346,Cinema of Death,Cinema of Death,2006,no_title_year_match,0
300591,Mistik Syirik Tahyul,Mistik Syirik Tahyul,2014,no_title_year_match,0
320078,Kano Vision,Kano Vision,2012,no_title_year_match,0
330747,Eyewitness Murders: An Experiment in Reality Television,Eyewitness Murders: An Experiment in Reality Television,1988,no_title_year_match,0
361193,Death Reel,Death Reel,1986,no_title_year_match,0
400404,Perjanjian Syaitan,Perjanjian Syaitan,2016,no_title_year_match,0
421112,Ghostbox,Ghostbox,2015,no_title_year_match,0
432269,Supernatural Tales,Supernatural Tales,2015,no_title_year_match,0
455484,M4TI,M4TI,2017,no_title_year_match,0
462877,Weird Weird Movie Kids Do Not Watch The Movie,Weird Weird Movie Kids Do Not Watch The Movie,2013,no_title_year_match,0
467151,Child's Play,Child's Play,1984,no_title_year_match,0
469972,Self Decapitation,Self Decapitation,2017,no_title_year_match,0
472896,Summer Lake Massacre,Summer Lake Massacre,2018,no_title_year_match,0
477982,In Possession,In Possession,1984,no_title_year_match,0
478939,Lurid Crime Stories 2,Lurid Crime Stories 2,2004,no_title_year_match,0
478929,Photo Murders 2,Photo Murders 2,2003,no_title_year_match,0
478953,Watch It & Die!,Watch It & Die!,2005,no_title_year_match,0
478818,Snuff TV,Snuff TV,2004,no_title_year_match,0
479342,Slaughtered Real Estate Agents,Slaughtered Real Estate Agents,2010,no_title_year_match,0
479337,The Sleepwalker Strangler,The Sleepwalker Strangler,2010,no_title_year_match,0
480002,The Cornfield,The Cornfield,2017,no_title_year_match,0
483534,The Darkest Nothing: Paraphrenia,The Darkest Nothing: Paraphrenia,2017,no_title_year_match,0
484457,Aos Sí,Aos Sí,2017,no_title_year_match,0
488078,The Centerfold Murders,The Centerfold Murders,1975,no_title_year_match,0
490870,The Idol,The Idol,2017,no_title_year_match,0
499399,Visit From a Dead Man,Visit From a Dead Man,1975,no_title_year_match,0
505587,Cursed,Cursed,2013,no_title_year_match,0
508234,Demon of the Flats,Demon of the Flats,2012,no_title_year_match,0
517217,Evil Has A Grin,Evil Has A Grin,2013,no_title_year_match,0
520082,Fangs For Nothing,Fangs For Nothing,2008,no_title_year_match,0
521487,Til Death: Bloodbath,Til Death: Bloodbath,2008,no_title_year_match,0
521490,Living Nightmare 2,Living Nightmare 2,2008,no_title_year_match,0
530098,Life of Unbeknownst,Life of Unbeknownst,2018,no_title_year_match,0
533000,The Chloroformed Model,The Chloroformed Model,1998,no_title_year_match,0
540974,Beach 24,Beach 24,2015,no_title_year_match,0
552032,Bunian,Bunian,2004,no_title_year_match,0
558482,Brutal Bigfoot,Brutal Bigfoot,2018,no_title_year_match,0
564729,Tales from the Drive-In,Tales from the Drive-In,2018,no_title_year_match,0
567245,Terror Trap: The Silver Mummy 2,Terror Trap: The Silver Mummy 2,2001,no_title_year_match,0
567953,The Hawkins Family Yule Log,The Hawkins Family Yule Log,2017,no_title_year_match,0
571116,Bloodrush,Bloodrush,1997,no_title_year_match,0
571099,Terror Tales from the Female Vampires,Terror Tales from the Female Vampires,2011,no_title_year_match,0
574493,Internet Fear,Internet Fear,2005,no_title_year_match,0
578177,Nenek Siam,Nenek Siam,2015,no_title_year_match,0
583532,Kaikou The Encounter,Kaikou The Encounter,2016,no_title_year_match,0
583520,Trapping 214,Trapping 214,2019,no_title_year_match,0
609245,Luminous Void: Docudrama,Luminous Void: Docudrama,2019,no_title_year_match,0
611083,Tödlicher Schnitt,Tödlicher Schnitt,2019,no_title_year_match,0
621222,Dracula Vampyre in Beijing,Dracula Vampyre in Beijing,2019,no_title_year_match,0
635040,Xenia: Priestess of Night,Xenia: Priestess of Night,1976,no_title_year_match,0
637040,Mutilated Movies,Mutilated Movies,2007,no_title_year_match,0
639571,Skin and Bones,Skin and Bones,2008,no_title_year_match,0
640786,R.I.P. - Bis zum Morgengrauen,R.I.P. - Bis zum Morgengrauen,1996,no_title_year_match,0
645828,Cold Storage,Cold Storage,1988,no_title_year_match,0
652860,Vampire Tales,Vampire Tales,1993,no_title_year_match,0
655058,The House on Devil's Road,The House on Devil's Road,2019,no_title_year_match,0
665921,Festival Of Fright,Festival Of Fright,2006,no_title_year_match,0
671730,The Turn of the Screw,The Turn of the Screw,1989,no_title_year_match,0
674259,The Offerings,The Offerings,2015,no_title_year_match,0
687661,New Year's Day,New Year's Day,2008,no_title_year_match,0
690085,Italy Possessed: A Brief History of Exorcist Rip-Offs,Italy Possessed: A Brief History of Exorcist Rip-Offs,2020,no_title_year_match,0
698074,Zombie Scumbags,Zombie Scumbags,2020,no_title_year_match,0
707031,Hag of Black Howe Moor,Hag of Black Howe Moor,2020,no_title_year_match,0
715486,Coldwater St. Massacre,Coldwater St. Massacre,2019,no_title_year_match,0
715894,The Great Satan At Large,The Great Satan At Large,1991,no_title_year_match,0
718617,Jade of Tai Chi,Jade of Tai Chi,2017,no_title_year_match,0
720959,Goodnight City Radio,Goodnight City Radio,2020,no_title_year_match,0
721940,Night Visions,Night Visions,2020,no_title_year_match,0
729722,Afterward,Afterward,1983,no_title_year_match,0
729975,Porkin' Across America,Porkin' Across America,2012,no_title_year_match,0
