id,title,year
1550319,The Weeb,2026
1551635,M is for Maisie,2013
1551697,Sundowning,9999
1553772,The Performance,2025
1554959,Through Their Eyes,2024
1557571,Does a Pig have a Name?,2021
1557852,Someone's at the Door,2023
1558944,Y103,2017
1564988,Devil's Gateway,2007
1565084,In Blood,2002
1570504,Claws,9999
1571290,Cherry Pie,2025
1571876,Run Over,2025
1572067,Pluto's Outbreak,9999
1572582,Invader,9999
1575865,The Curse of Room 102,2023
1579593,"Girl, Abducted",2011
1579598,The Colour of Her Eyes,2013
1581602,Blake Buried A Body [FEATURE],9999
1582437,Wuthering Heights: The House of the Damned,9999
1584267,G.M.O.,2015
1585763,Meet the Eye,2009
1588207,Occupied,2025
1590984,Zombois,9999
1593656,Roadkill,2025
1596482,Happy Birthday,2014
1607722,Rats,2011
1610805,Puppets,2018
1611041,Claustra,2024
1620126,Paradies,2023
1620816,Promises,2021
1623640,Pieces of Amy,2025
1624000,Dead Ink,2010
1629250,A Very Don't Get Out Christmas,2025
1631935,Misplaced,2016
1632189,Blood Rush,9999
1632290,Ascendant,9999
1634860,Izzi,9999
1635622,Michael Myers vs Ghostface,2013
1636838,Sonny Lovejoy,9999
1637268,Saints,2025
1637612,False Light,2018
1637919,Plan B,2016
1641832,"Goodbye, Monster",9999
1642568,The Last Temptation of Becky,2026
1646710,Xelter,9999
1647494,Jason vs Pennywise,2019
1648180,Surviving,2006
1649063,Nightwatch,1985
1649192,Friday the 13th: Origin of Evil,2022
1649198,Friday the 13th: Origin of Evil - Part 2,2022
1649689,Friday the 13th: Origin of Evil - Part 3,2023
1653857,Surviving the Hunt,2018
