id,title,year,width,height,aspect,reason
1477442,Recon,1996,1000,563,1.7762,landscape
1479157,The Curse of the Beastman,1995,1000,1000,1.0,square
1488712,Fcb TV Show No.1,1955,1000,563,1.7762,landscape
1490275,Belonging,2023,300,169,1.7751,landscape
1502240,Menace,1970,300,225,1.3333,landscape
1506384,The Mirror,2025,300,149,2.0134,landscape
1507997,Revenge of the Calendar Girls,1995,1000,562,1.7794,landscape
1514108,I.V. League,2017,1000,563,1.7762,landscape
1528697,The Cure,2012,300,200,1.5,landscape
1529266,Gladys,2028,280,280,1.0,square
1532880,Turn It Off,2025,1000,576,1.7361,landscape
1541406,The Pickpocket,1955,1000,750,1.3333,landscape
1544453,Safe and Sound,1956,1000,750,1.3333,landscape
1544463,The Inveterate Gambler,1956,1000,750,1.3333,landscape
1550319,The Weeb,2026,1000,597,1.675,landscape
1551635,M is for Maisie,2013,1000,563,1.7762,landscape
1554959,Through Their Eyes,2024,1000,563,1.7762,landscape
1557852,Someone's at the Door,2023,1000,588,1.7007,landscape
1571911,Drain,2025,300,169,1.7751,landscape
1575865,The Curse of Room 102,2023,1000,599,1.6694,landscape
1578458,Attic Suite,1986,300,220,1.3636,landscape
1579593,"Girl, Abducted",2011,1000,800,1.25,landscape
1579598,The Colour of Her Eyes,2013,1000,816,1.2255,landscape
1580424,Unholy Passion,2006,300,200,1.5,landscape
1581602,Blake Buried A Body [FEATURE],9999,1000,419,2.3866,landscape
1588207,Occupied,2025,1000,563,1.7762,landscape
1590984,Zombois,9999,1000,961,1.0406,landscape
1608877,Somerset,2024,300,138,2.1739,landscape
1608907,Nowhere to Go,2021,300,147,2.0408,landscape
1610805,Puppets,2018,1000,563,1.7762,landscape
1619746,Swipe Fiend,2021,300,169,1.7751,landscape
1630658,Nails,2026,300,225,1.3333,landscape
1635622,Michael Myers vs Ghostface,2013,1000,750,1.3333,landscape
1637612,False Light,2018,1000,419,2.3866,landscape
1637919,Plan B,2016,1000,563,1.7762,landscape
1642940,Don't Kill Loretta,2027,280,280,1.0,square
1646710,Xelter,9999,1000,377,2.6525,landscape
1653857,Surviving the Hunt,2018,1000,829,1.2063,landscape
1654295,The Horror Hall of Fame II,1991,1000,719,1.3908,landscape
1655131,Arbor Day,2013,1000,563,1.7762,landscape
1655140,M Is for Mother,2013,1000,558,1.7921,landscape
1655293,SuperHot Apocalypse,2012,300,168,1.7857,landscape
1656697,Mother Monster,9999,1000,610,1.6393,landscape
1659270,The Stars Are Blackest at Night,2017,1000,417,2.3981,landscape
1659749,The Ordeal of Randolph Carter,2016,1000,563,1.7762,landscape
1660589,Nick the Killer,2024,1000,562,1.7794,landscape
1661612,Shadows Near,2008,1000,800,1.25,landscape
1661620,Otto and the Electric Eel,2012,1000,563,1.7762,landscape
1662060,Pickman's Model,2012,1000,563,1.7762,landscape
1662763,Last Call,9999,1000,419,2.3866,landscape
1665593,Superconscious,2026,1000,667,1.4993,landscape
1667983,A Ghastly Tale,2010,1000,563,1.7762,landscape
1669295,Cold Call,2011,1000,528,1.8939,landscape
1682293,AYA,2026,1000,563,1.7762,landscape
1685487,Metanoia,2026,280,280,1.0,square
1686650,Breaking paranoid,2026,1000,563,1.7762,landscape
1691730,The Final Day,2008,1000,562,1.7794,landscape
1695945,High Tea,2017,1000,625,1.6,landscape
1701101,Kelton's Dark Corner 4: The Kelton Marathon,2015,1000,1000,1.0,square
1701236,Posthumous,9999,1000,667,1.4993,landscape
1714737,Holdout,2012,1000,563,1.7762,landscape
1726033,It's a Girl,2012,1000,998,1.002,landscape
1726191,Box,2012,1000,563,1.7762,landscape
1733835,Mooseman,2025,1000,563,1.7762,landscape
