id,imdb_id
1037919,tt11172520
1038379,tt22893328
1038489,tt2088918
1040085,tt1735232
1040593,tt1679322
1041150,tt16267750
1041633,tt22854744
1041794,tt1791601
1042496,tt8315614
1042960,tt28555769
1043608,tt21610644
1044396,tt0592979
1045849,tt11660998
1048505,tt13222410
1049134,tt4136698
1049830,tt23054242
1050361,tt23867864
1050752,tt23725406
1051646,tt14102642
1052146,tt23765932
1052559,tt18279118
1053447,tt27441588
1053808,tt22984360
1053924,tt13723360
1056390,tt23903846
1057796,tt15716562
1058157,tt11933760
1058167,tt15371926
1058443,tt29491627
1058505,tt11880192
1059047,tt23001296
1059454,tt1905009
1059806,tt3496396
1059927,tt6233504
1060109,tt2997190
1060150,tt11990432
1060207,tt9062328
1060388,tt20252668
1060421,tt24248198
1061143,tt13767568
1061174,tt11261628
1061330,tt9067476
1061428,tt4201992
1061430,tt4885136
1061432,tt6094886
1061433,tt10451364
1061435,tt22883162
1061443,tt10832818
1061446,tt1782427
1061493,tt12257450
1061496,tt13419538
1061497,tt12572384
1061501,tt9363630
1061879,tt6377068
1061943,tt7511210
1062308,tt9238434
1062376,tt13142206
1062626,tt5623408
1062635,tt13248810
1062637,tt7639344
1062664,tt14432416
1062675,tt16463406
1062785,tt8684348
1062789,tt14714594
1062796,tt6958230
1062799,tt3767676
1062999,tt2705328
1063121,tt20234212
1063125,tt12251544
1063131,tt4900414
1063456,tt0888485
1063480,tt15806872
1063482,tt10245742
1063490,tt2593272
1063494,tt6539986
1063498,tt10967226
1063830,tt14575374
1064190,tt3104400
1064249,tt7309980
1064435,tt9113960
1064671,tt2330767
1064931,tt1369809
1065952,tt23709780
1066420,tt22299098
1066422,tt2125465
1067828,tt6868218
1068000,tt22297928
1069852,tt25602866
1070251,tt10224506
1071510,tt21848366
1072073,tt21200532
1072404,tt22456398
1072949,tt9426170
1074504,tt23637788
1074776,tt25746466
1074839,tt16993924
1074945,tt21914556
1075756,tt26246852
1075981,tt26341409
1081566,tt26593095
1081784,tt26597524
1082662,tt11827040
1083574,tt26659231
1083938,tt14674812
1083949,tt8186392
1083953,tt4301036
1084189,tt11874684
1084269,tt26653661
1085300,tt26690323
1087065,tt11274814
1088944,tt25399036
1089251,tt0415729
1089960,tt23038860
1090158,tt21148096
1090273,tt2871648
1090361,tt26736933
1091303,tt26625161
1093238,tt2356526
1093817,tt26596830
1094351,tt12694682
1094655,tt26895144
1094787,tt21813072
1094967,tt13728628
1095334,tt24070830
1095624,tt4092116
1095626,tt4085178
