id,source,status,in_w,in_h,out_w,out_h,error
135288,orig,ok,2000,3000,1000,1500,
135321,up,ok,1000,1500,1000,1500,
135354,up,ok,1000,1500,1000,1500,
135368,orig,ok,1000,1500,1000,1500,
135369,orig,ok,2000,3000,1000,1500,
135402,up,ok,1140,1600,1000,1500,
135414,up,ok,1676,2374,1000,1500,
135422,orig,ok,1000,1414,1000,1500,
135424,up,ok,1204,1804,1000,1500,
135451,orig,ok,1920,2880,1000,1500,
135461,orig,ok,1000,1500,1000,1500,
135482,up,ok,1920,2880,1000,1500,
135559,up,ok,1600,2400,1000,1500,
135670,orig,ok,1000,1500,1000,1500,
135760,orig,ok,1000,1500,1000,1500,
135973,up,ok,1920,2880,1000,1500,
136006,up,ok,1920,2880,1000,1500,
136013,orig,ok,1000,1500,1000,1500,
136074,up,ok,1262,1894,1000,1500,
136212,orig,ok,1000,1500,1000,1500,
136268,up,ok,1560,2340,1000,1500,
136309,orig,ok,1522,2148,1000,1500,
136328,up,ok,1200,1680,1000,1500,
136467,orig,ok,1000,1500,1000,1500,
136468,up,ok,1334,2000,1000,1500,
136549,up,ok,1280,1920,1000,1500,
136593,up,ok,1920,2880,1000,1500,
136641,up,ok,1860,2834,1000,1500,
136720,orig,ok,1175,1763,1000,1500,
136801,up,ok,1600,2400,1000,1500,
136837,orig,ok,1805,2708,1000,1500,
136881,orig,ok,1000,1500,1000,1500,
137051,orig,ok,1000,1500,1000,1500,
137062,up,ok,1000,1500,1000,1500,
137295,up,ok,1600,2400,1000,1500,
137634,up,ok,1000,1500,1000,1500,
137663,up,ok,1230,1844,1000,1500,
137707,orig,ok,1000,1500,1000,1500,
137746,up,ok,1894,2842,1000,1500,
137749,orig,ok,1000,1500,1000,1500,
137900,up,ok,1448,2000,1000,1500,
137904,orig,ok,1000,1500,1000,1500,
137955,up,ok,1920,2880,1000,1500,
137992,orig,ok,1000,1481,1000,1500,
138012,up,ok,1000,1500,1000,1500,
138017,up,ok,1920,2880,1000,1500,
138068,orig,ok,2000,3000,1000,1500,
138097,up,ok,1560,2206,1000,1500,
138223,up,ok,1920,2880,1000,1500,
138345,up,ok,1360,2000,1000,1500,
138355,up,ok,1200,1700,1000,1500,
138469,up,ok,1000,1500,1000,1500,
138496,orig,ok,1000,1500,1000,1500,
138630,up,ok,1000,1500,1000,1500,
138792,orig,ok,2000,3000,1000,1500,
138858,orig,ok,1000,1500,1000,1500,
138875,orig,ok,1400,2100,1000,1500,
138900,up,ok,1626,2426,1000,1500,
138901,orig,ok,1000,1500,1000,1500,
138943,up,ok,1920,2880,1000,1500,
138944,orig,ok,1200,1600,1000,1500,
138956,up,ok,1180,1770,1000,1500,
138959,orig,ok,1000,1500,1000,1500,
138967,orig,ok,1000,1500,1000,1500,
138988,orig,ok,1000,1500,1000,1500,
138997,orig,ok,1000,1500,1000,1500,
138998,orig,ok,1200,1800,1000,1500,
138999,orig,ok,1000,1500,1000,1500,
139103,orig,ok,1000,1412,1000,1500,
139132,orig,ok,1050,1575,1000,1500,
