id,title,year,decade,proxy,ocr_chars,n_lines,n_boxes,mean_conf,ocr_source,path
1704210,Wrath,2024,2020,image_led,4,1,1,0.3559,easyocr,/f9C7AjdMsX584Ac2XeJjgq3FJIu.jpg
393320,The Chinese Room,1968,1960,text_heavy,211,22,22,0.3352,easyocr,/cUrCXiJPWdwtr8QmBhKfgrKJxbR.jpg
484219,A Visit to the Spiritualist,1899,1890,image_led,1,1,0,0.0,textract,/vfnLo133Mq8M4SXZOaWAhMVFgX7.jpg
810896,Waiting Room,1981,1980,image_led,3,1,0,0.0,textract,/4UACu3sBcrmQ9Yv9oT1mrAZuaBt.jpg
936602,Hellion,9999,9990,text_heavy,92,7,7,0.2716,easyocr,/mIbdGpDu1FcpyXS2esZQ7lBWUJH.jpg
844380,Nix,2022,2020,image_led,3,1,1,0.2978,easyocr,/pmAFOmkhsTXJlRptAgoKn77Odue.jpg
43148,The Vampire Bat,1933,1930,title_led,16,3,3,0.7647,easyocr,/bGN3Ik3CatDC9wvfV55LLBrBGh8.jpg
1012298,The Turn of the Screw,1959,1950,text_heavy,118,4,4,0.456,easyocr,/bFVGUajbaNDrmKd8w3hZGg8A2PK.jpg
284125,Ghostbreakers,1967,1960,title_led,13,1,1,0.9999,easyocr,/4KjftS7kIoCPmxWrSTMAzRq3yIl.jpg
447385,The Dream Woman,1914,1910,image_led,0,0,0,0.0,easyocr,/heEqX0kBiJvTyBkLSbdb9Nmxbfc.jpg
1704216,Bloodline,9999,9990,image_led,5,1,1,0.215,easyocr,/golpPFwEhrzWis1FKc20K5amjKc.jpg
1710225,TAU file_001,9999,9990,text_heavy,54,8,8,0.9756,easyocr,/lN4UkQ2LAtSGpJPB3P1AYOiCpOK.jpg
32623,Night of the Ghouls,1959,1950,image_led,6,1,1,0.2256,easyocr,/ad5YqkwPM1GiKEaBYlAUwCQt34N.jpg
419862,Tengkorak Hidoep,1941,1940,title_led,49,5,5,0.2049,easyocr,/aSCcv5zRTTCMiOL4ykMh43TzXJw.jpg
84233,Don't Hang Up,1974,1970,text_heavy,129,10,10,0.6426,easyocr,/1vVhbo2yoVdoxIdkQWPifQtYfaN.jpg
85188,The Demon,1979,1970,image_led,7,1,1,0.7259,easyocr,/iL09aK8VzXKHvDC7QmNMYK2MJid.jpg
694951,And All Through the House,1971,1970,image_led,0,0,0,0.0,easyocr,/32Ljy80Xl883nn9SZMe1MYgdI8y.jpg
284262,Liberty,9999,9990,title_led,20,5,5,0.2781,easyocr,/t3PnVs1uWl0LuoJT6JRwClguRXu.jpg
940165,The Avenging Hand,1915,1910,title_led,38,5,5,0.8077,easyocr,/sR150AcUN3ZR2w4UcAaDueCcZkS.jpg
20695,Blessed,2004,2000,image_led,7,1,1,1.0,easyocr,/lQIQzonaUBSb5VG90Eq4VGfN4Dv.jpg
1320610,Zombies,2002,2000,text_heavy,90,8,8,0.5454,easyocr,/xuDCY0gM8OHVnZ9lRSyRCF1rY4I.jpg
1705685,Red Lips,9999,9990,image_led,4,1,1,0.0661,easyocr,/6GvylfQ38XQgPnYtLry4sTaw38H.jpg
246223,Hot Wax Zombies on Wheels,1999,1990,title_led,23,3,3,0.6149,easyocr,/iVRdc38aazQ8oU4MBNwzzGhTEPj.jpg
784115,The Curious Adventure of Doctor Works,1921,1920,image_led,0,0,0,0.0,easyocr,/5AKXTQUhBo5nqld4zzEZnQJMwzy.jpg
956572,The Crystal Lake Massacres Revisited - Part IV,2009,2000,image_led,6,1,1,0.0676,easyocr,/ytATwVLxOIDrFf6oxgDrUEiKUCG.jpg
891936,Days Before Christmas,1992,1990,title_led,22,1,1,0.739,easyocr,/48qSAWBhh0T5T7sxoXXNIkUMopY.jpg
1729941,The gears,9999,9990,text_heavy,325,16,16,0.4349,easyocr,/j0B7RrT0RcUJRDjaxtZhtRMfX7V.jpg
41118,Scrooge,1935,1930,image_led,5,1,1,0.1155,easyocr,/vqRuJyux0KEr4vojK9ytXIrEU46.jpg
6123,Desire: The Tragedy of a Dancer,1921,1920,image_led,7,1,1,0.997,easyocr,/2RVBw22FqD9myoGTcGIOgJnWorq.jpg
29052,The Reptile,1966,1960,image_led,6,1,1,0.0383,easyocr,/pyDCGewLquVYjXSL0SifoCtlyeZ.jpg
1287025,The Last Lonely Man,1969,1960,image_led,0,0,0,0.0,easyocr,/hn5V6hvkJZWrZRIzwl17KdEcZ2v.jpg
28261,Mad Love,1935,1930,image_led,3,1,1,0.8402,easyocr,/lDD8pKd6jSrFLV3RvE0eDGGGxR0.jpg
117026,Daughter of Dr. Jekyll,1957,1950,text_heavy,114,16,16,0.7872,easyocr,/7qVPonGPzJrxzu7Dnj1AD37qp8a.jpg
447215,The Monster,9999,9990,title_led,11,2,2,1.0,easyocr,/xKShNFd1a9SIihvxYPB5IrMnipw.jpg
24580,The Quatermass Xperiment,1955,1950,text_heavy,54,6,6,0.4496,easyocr,/lm6cQiUjJ0AUUqESI9WWM7veIbp.jpg
