id,title,original_title,year,current_stem,current_overlap,current_fuzzy,best_stem,best_file_path,best_overlap,best_fuzzy,gain_overlap,gain_fuzzy,n_variants,propose,reason
36965,Infection,Infection,2005,36965.jpg,0.0,0.3226,nZwQvVEySo7rGI0JR06penAVmr1,posters_multi/36965/nZwQvVEySo7rGI0JR06penAVmr1.jpg,1.0,0.1667,1.0,-0.1559,5,1,overlap_gain
37687,3 A.M.,3 A.M.,2008,37687.jpg,0.0,0.0377,5xrbnulJKpxtD2pCN1cdN0TXrMn,posters_multi/37687/5xrbnulJKpxtD2pCN1cdN0TXrMn.jpg,0.0,0.0377,0.0,0.0,1,0,no
40338,Naked Massacre,Die Hinrichtung,1976,40338.jpg,0.0,0.2581,i1ElgF6v5avfslWm45s3JjzZbPS,posters_multi/40338/i1ElgF6v5avfslWm45s3JjzZbPS.jpg,1.0,0.1486,1.0,-0.1095,6,1,overlap_gain
45511,Teacher's Pet,Teacher's Pet,2000,45511.jpg,0.0,0.2963,rQp1gPdjPoUPTWZmnrrXpVZkt0G,posters_multi/45511/rQp1gPdjPoUPTWZmnrrXpVZkt0G.jpg,1.0,1.0,1.0,0.7037,3,1,overlap_gain
47431,To Make a Killing,To Make a Killing,1988,47431.jpg,0.0,0.0,1qQ3tiBTDTLSMzEk0X6NVfdacoL,posters_multi/47431/1qQ3tiBTDTLSMzEk0X6NVfdacoL.jpg,1.0,0.1257,1.0,0.1257,4,1,overlap_gain
48808,Closet Space,Closet Space,2008,48808.jpg,0.0,0.1346,1iXF33dWixSj6Q0hRIN1NYaFnvi,posters_multi/48808/1iXF33dWixSj6Q0hRIN1NYaFnvi.jpg,0.0,0.1386,0.0,0.004,1,0,no
50604,Dark Woods,Dark Woods,2010,50604.jpg,0.0,0.0167,5KjHJKWsfwssN1YCPo7u4Tl4l2x,posters_multi/50604/5KjHJKWsfwssN1YCPo7u4Tl4l2x.jpg,0.0,0.0076,0.0,-0.0091,1,0,no
51176,Hellborn,Hellborn,2003,51176.jpg,0.0,0.1263,r0KUoGBEO0sWxTr9hhLf78tXtDg,posters_multi/51176/r0KUoGBEO0sWxTr9hhLf78tXtDg.jpg,1.0,0.0,1.0,-0.1263,4,1,overlap_gain
56383,"Lisa, Lisa","Lisa, Lisa",1974,56383.jpg,0.0,0.3571,rV6Irmd9RD0HZXhD7H8ucZceo3V,posters_multi/56383/rV6Irmd9RD0HZXhD7H8ucZceo3V.jpg,1.0,0.0,1.0,-0.3571,5,1,overlap_gain
58796,Canes,Canes,2006,58796.jpg,0.0,0.2424,9tq55sjFuJ2NNt0IPrigFKSJ0u6,posters_multi/58796/9tq55sjFuJ2NNt0IPrigFKSJ0u6.jpg,0.0,0.2424,0.0,0.0,4,0,no
64623,Vendetta,Zai shi zhui hun,1993,64623.jpg,0.0,0.2857,3kL2yacKNzPZ6IrxFI8dHJqu6lx,posters_multi/64623/3kL2yacKNzPZ6IrxFI8dHJqu6lx.jpg,1.0,0.1481,1.0,-0.1376,1,1,overlap_gain
69117,Unseen Evil 2,Unseen Evil 2,2004,69117.jpg,0.0,0.2051,p13XVpFphqj2Dc92ZRUeYdKBWAf,posters_multi/69117/p13XVpFphqj2Dc92ZRUeYdKBWAf.jpg,0.0,0.2051,0.0,0.0,1,0,no
69142,The Wrath,The Wrath,2008,69142.jpg,0.0,0.2553,gp2Zfza1j955qUU6iyDDdDsJk1H,posters_multi/69142/gp2Zfza1j955qUU6iyDDdDsJk1H.jpg,0.5,0.186,0.5,-0.0693,4,1,overlap_gain
71234,Greed,Greed,2006,71234.jpg,0.0,0.0759,iMraYCxCyB4s0IwlLkPtxrbSt2v,posters_multi/71234/iMraYCxCyB4s0IwlLkPtxrbSt2v.jpg,0.0,0.0759,0.0,0.0,1,0,no
72654,Parents,Foreldrar,2007,72654.jpg,0.0,0.0041,6cSYVV21o7T1iMclovdKqnLqy2d,posters_multi/72654/6cSYVV21o7T1iMclovdKqnLqy2d.jpg,1.0,0.4,1.0,0.3959,2,1,overlap_gain
