title,type,year,id,slug,url,rails
Clayface,clip,2026,6a6146c374f4a7cfffb338df,clayface-2026,https://watch.plex.tv/movie/clayface-2026,Trending Horror Trailers
Clayface,movie,2026,675ae776faafd0b9a2683406,clayface-2026,https://watch.plex.tv/movie/clayface-2026,Coming Soon in Horror
Cold Case,movie,2021,5fa261a0a74821002d95f2e9,cold-case-2021,https://watch.plex.tv/movie/cold-case-2021,Surprise Me
Condena De Muerte,movie,2017,5d776cbe594b2b001e6fc5c3,skinford-death-sentence-2017,https://watch.plex.tv/movie/skinford-death-sentence-2017,Trending in Horror
Cosecha sangrienta,movie,2025,635eb40aa38ebd42a0384453,clown-in-a-cornfield-2025,https://watch.plex.tv/movie/clown-in-a-cornfield-2025,Surprise Me
Criaturas de la noche,movie,2000,5d77682c8718ba001e3129f0,pitch-black,https://watch.plex.tv/movie/pitch-black,Fan Favorites in Horror
Cruel Hands,movie,2026,65c0046a9f5081a231dd6090,cruel-hands,https://watch.plex.tv/movie/cruel-hands,Recently Released in Horror
Crímenes del futuro,clip,2022,630e863d8b6c161de778a4c5,crimes-of-the-future-2022,https://watch.plex.tv/movie/crimes-of-the-future-2022,Trending Horror Trailers
Crímenes del futuro,movie,2022,607daa4a7ce89d0035219f6d,crimes-of-the-future-2022,https://watch.plex.tv/movie/crimes-of-the-future-2022,Most Watchlisted This Week
Cube,movie,1997,5d776825961905001eb90cc9,cube,https://watch.plex.tv/movie/cube,Available on Plex
Curse of the Sin Eater,movie,2024,64517fb0386b902115cd3506,curse-of-the-sin-eater,https://watch.plex.tv/movie/curse-of-the-sin-eater,Surprise Me
Dead Rising: Watchtower,movie,2015,5d776b26fb0d55001f55db01,dead-rising-watchtower,https://watch.plex.tv/movie/dead-rising-watchtower,Surprise Me
Dog Soldiers,clip,2002,620a4bad73c925517f0cc6ac,dog-soldiers,https://watch.plex.tv/movie/dog-soldiers,Trending Horror Trailers
Dread,movie,2026,6a5379a602446ca42c78d5dd,dread-2026-3,https://watch.plex.tv/movie/dread-2026-3,Recently Released in Horror
Drácula de Bram Stoker,movie,1992,5d776830961905001eb92f31,bram-stokers-dracula,https://watch.plex.tv/movie/bram-stokers-dracula,Fan Favorites in Horror
Dulce sabor a muerte,clip,2026,6a1d06877544fd0bbd7b679f,ice-cream-man-2026,https://watch.plex.tv/movie/ice-cream-man-2026,Trending Horror Trailers
Déjame entrar,movie,2010,5d776875fb0d55001f510da7,let-me-in,https://watch.plex.tv/movie/let-me-in,Available on Plex
Déjame entrar,movie,2008,5d77683a999c64001ec304b4,let-the-right-one-in,https://watch.plex.tv/movie/let-the-right-one-in,Fan Favorites in Horror
Déjame salir,movie,2017,5d776c7b594b2b001e6f4c9c,get-out-2017,https://watch.plex.tv/movie/get-out-2017,Fan Favorites in Horror
Eden Lake,movie,2008,5d77683aeb5d26001f1e1d0b,eden-lake,https://watch.plex.tv/movie/eden-lake,Available on Plex
El cazador de sueños,movie,2003,5d7768302e80df001ebddbb6,dreamcatcher,https://watch.plex.tv/movie/dreamcatcher,Available on Plex
El Dentista 2,movie,1998,5d77686be6d55c0020412b31,the-dentist-2,https://watch.plex.tv/movie/the-dentist-2,Trending in Horror
El Hijo del Carpintero,clip,2025,68deddf3632b9d619c5b5b1a,the-carpenters-son-2025,https://watch.plex.tv/movie/the-carpenters-son-2025,Trending Horror Trailers
El hombre invisible,movie,2020,5d776b987a53e9001e72a749,the-invisible-man-2020,https://watch.plex.tv/movie/the-invisible-man-2020,Fan Favorites in Horror
El menú,movie,2022,5d7770d1b2739400200ea443,the-menu-2022,https://watch.plex.tv/movie/the-menu-2022,Fan Favorites in Horror
El nido,movie,2026,6947135935b71ae6755935ef,el-nido-2026,https://watch.plex.tv/movie/el-nido-2026,Coming Soon in Horror
El pasajero nocturno,clip,2026,69de65fd55921d658d00a1e5,passenger-2026,https://watch.plex.tv/movie/passenger-2026,Trending Horror Trailers
El pasajero nocturno,movie,2026,670d289e793d5e29967babce,passenger-2026,https://watch.plex.tv/movie/passenger-2026,Most Watchlisted This Week
