id,title,year,vote_count,imdb_id,reason
8643,The Exorcism of Emily Rose,2005,2333,tt0404032,tmdb_vote_count_gt_100
452507,1922,2017,2318,tt6214928,tmdb_vote_count_gt_100
406563,Insidious: The Last Key,2018,2313,tt5726086,tmdb_vote_count_gt_100
23437,A Nightmare on Elm Street,2010,2292,tt1179056,tmdb_vote_count_gt_100
4488,Friday the 13th,1980,2289,tt0080761,tmdb_vote_count_gt_100
3597,I Know What You Did Last Summer,1997,2272,tt0119345,tmdb_vote_count_gt_100
313922,Green Room,2015,2272,tt4062536,tmdb_vote_count_gt_100
14564,Rings,2017,2270,tt0498381,tmdb_vote_count_gt_100
4513,30 Days of Night,2007,2267,tt0389722,tmdb_vote_count_gt_100
8413,Event Horizon,1997,2212,tt0119081,tmdb_vote_count_gt_100
417384,Scary Stories to Tell in the Dark,2019,2208,tt3387520,tmdb_vote_count_gt_100
1114513,Speak No Evil,2024,2204,tt27534307,tmdb_vote_count_gt_100
306947,The Invitation,2015,2195,tt2400463,tmdb_vote_count_gt_100
22894,Legion,2010,2190,tt1038686,tmdb_vote_count_gt_100
398173,The House That Jack Built,2018,2186,tt4003440,tmdb_vote_count_gt_100
938614,Late Night with the Devil,2024,2174,tt14966898,tmdb_vote_count_gt_100
9373,The Texas Chainsaw Massacre,2003,2163,tt0324216,tmdb_vote_count_gt_100
17609,Antichrist,2009,2138,tt0870984,tmdb_vote_count_gt_100
9902,Wrong Turn,2003,2127,tt0295700,tmdb_vote_count_gt_100
335796,Ouija: Origin of Evil,2016,2127,tt4361050,tmdb_vote_count_gt_100
13207,Friday the 13th,2009,2106,tt0758746,tmdb_vote_count_gt_100
41436,Paranormal Activity 2,2010,2086,tt1536044,tmdb_vote_count_gt_100
6466,Freddy vs. Jason,2003,2084,tt0329101,tmdb_vote_count_gt_100
9360,Anaconda,1997,2075,tt0118615,tmdb_vote_count_gt_100
361292,Suspiria,2018,2075,tt1034415,tmdb_vote_count_gt_100
83899,You're Next,2011,2041,tt1853739,tmdb_vote_count_gt_100
400710,Flatliners,2017,2035,tt2039338,tmdb_vote_count_gt_100
243688,Poltergeist,2015,2031,tt1029360,tmdb_vote_count_gt_100
576845,Last Night in Soho,2021,2031,tt9639470,tmdb_vote_count_gt_100
539537,Fantasy Island,2020,2020,tt0983946,tmdb_vote_count_gt_100
614479,Insidious: The Red Door,2023,2013,tt13405778,tmdb_vote_count_gt_100
26466,Triangle,2009,2003,tt1187064,tmdb_vote_count_gt_100
418078,It Comes at Night,2017,2003,tt4695012,tmdb_vote_count_gt_100
8914,Deep Blue Sea,1999,2002,tt0149261,tmdb_vote_count_gt_100
10665,The Strangers,2008,2000,tt0482606,tmdb_vote_count_gt_100
480414,The Curse of La Llorona,2019,1998,tt4913966,tmdb_vote_count_gt_100
1034541,Terrifier 3,2024,1994,tt27911000,tmdb_vote_count_gt_100
