id,title,year,imdb_id,tmdb_genres,imdb_titleType,flag_tmdb_tv_movie,flag_imdb_tv_type,reason
41237,They Are Among Us,2004,tt0417191,"Horror, Science Fiction, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
41302,Zontar: The Thing from Venus,1967,tt0061217,"Horror, Science Fiction, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
41540,The Fallen Ones,2005,tt0421199,"Action, Horror, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
41595,Witch Hunt,1994,tt0111730,"Crime, Horror, Mystery, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
42185,Shark Attack,1999,tt0161970,Horror,tvMovie,0,1,tv_horror_tmdb_or_imdb
42272,The Watch,2008,tt1166118,"Drama, Horror, Mystery, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
42280,Warbirds,2008,tt1047544,Horror,tvMovie,0,1,tv_horror_tmdb_or_imdb
42309,Fear Island,2009,tt1109583,"Horror, Mystery, Thriller",tvMovie,0,1,tv_horror_tmdb_or_imdb
42462,Daughter of the Mind,1969,tt0064211,"Horror, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
42901,In the Spider's Web,2007,tt1065092,"Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
42905,Kraken: Tentacles of the Deep,2006,tt0486099,"Action, Horror, Science Fiction, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
43099,Mothman,2010,tt1514425,"Horror, Science Fiction, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
44020,Silent Warnings,2003,tt0348031,"Horror, Science Fiction, Thriller",tvMovie,0,1,tv_horror_tmdb_or_imdb
44037,Lake Placid 3,2010,tt1499249,"Action, Horror, Science Fiction, Thriller",tvMovie,0,1,tv_horror_tmdb_or_imdb
44396,Nightmare at the End of the Hall,2008,tt1149606,"Drama, Horror, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
44548,Vipers,2008,tt1152403,"Action, Horror, Science Fiction, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
44732,Spring Break Shark Attack,2005,tt0450326,"Action, Drama, Horror, Thriller",tvMovie,0,1,tv_horror_tmdb_or_imdb
44809,Dinocroc vs. Supergator,2010,tt1453409,"Horror, Science Fiction",tvMovie,0,1,tv_horror_tmdb_or_imdb
44811,Mongolian Death Worm,2010,tt1504443,"Horror, Science Fiction, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
45663,The Dunwich Horror,2009,tt1226752,"Action, Horror, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
45875,Trilogy of Terror II,1996,tt0117966,"Horror, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
45959,Dark Relic,2010,tt1471156,"Fantasy, Horror, Science Fiction",tvMovie,0,1,tv_horror_tmdb_or_imdb
46633,Ghostwatch,1992,tt0200659,"Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
46803,Curse of the Talisman,2001,tt0275285,"Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
46968,The Turn of the Screw,1999,tt0209440,"Drama, Horror, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
47287,Rough Magik,2000,tt0459531,"Horror, Science Fiction",tvMovie,0,1,tv_horror_tmdb_or_imdb
48333,Hammerhead,2005,tt0459392,"Action, Horror, Science Fiction, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
48374,Piranha,1995,tt0114137,"Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
48397,Beyond Loch Ness,2008,tt0930072,"Horror, Mystery, Science Fiction",tvMovie,0,1,tv_horror_tmdb_or_imdb
48516,Child of Mine,2005,tt0455924,"Horror, Thriller",tvMovie,0,1,tv_horror_tmdb_or_imdb
48618,Good Against Evil,1977,tt0076094,"Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
48747,Jekyll & Hyde,1990,tt0099875,"Horror, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
48871,Red: Werewolf Hunter,2010,tt1626201,"Action, Fantasy, Horror, Thriller",tvMovie,0,1,tv_horror_tmdb_or_imdb
49266,Sand Serpents,2009,tt1319736,"Action, Horror, Thriller",tvMovie,0,1,tv_horror_tmdb_or_imdb
49353,Snowbeast,1977,tt0076731,Horror,tvMovie,0,1,tv_horror_tmdb_or_imdb
49354,Moon of the Wolf,1972,tt0068967,"Horror, Mystery, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
49396,The Haunted,1991,tt0102007,"Horror, Mystery",tvMovie,0,1,tv_horror_tmdb_or_imdb
49676,Too Late to Say Goodbye,2009,tt1486861,"Drama, Horror, Mystery, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
49804,The Day the World Ended,2001,tt0272575,"Horror, Science Fiction",tvMovie,0,1,tv_horror_tmdb_or_imdb
49877,Locusts: The 8th Plague,2005,tt0491661,"Drama, Horror",tvMovie,0,1,tv_horror_tmdb_or_imdb
50288,House of Bones,2010,tt1334536,Horror,tvMovie,0,1,tv_horror_tmdb_or_imdb
50448,Count Dracula,1977,tt0075882,"Drama, Horror, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
52244,Larva,2005,tt0393421,"Horror, Science Fiction, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
52395,Fear,1990,tt0099557,"Horror, Thriller",tvMovie,0,1,tv_horror_tmdb_or_imdb
52878,Lost Voyage,2001,tt0252649,"Horror, Thriller",tvMovie,0,1,tv_horror_tmdb_or_imdb
52949,An Evening of Edgar Allan Poe,1970,tt0229371,"Horror, Mystery, TV Movie",movie,1,0,tv_horror_tmdb_or_imdb
53060,Humanoids from the Deep,,tt0117506,,tvMovie,0,1,tv_horror_tmdb_or_imdb
53080,Malibu Shark Attack,2009,tt1478325,"Action, Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
53245,Yeti: Curse of the Snow Demon,2008,tt0896585,Horror,tvMovie,0,1,tv_horror_tmdb_or_imdb
53428,Nick Knight,1989,tt0097969,"Crime, Drama, Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
53553,The Glow,2002,tt0286653,"Horror, Mystery, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
53850,Basilisk: The Serpent King,2006,tt0760306,"Action, Fantasy, Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
53869,Webs,2003,tt0346136,"Horror, Science Fiction, Thriller",tvMovie,0,1,tv_horror_tmdb_or_imdb
53959,Phantom Force,2004,tt0395706,"Action, Horror, Science Fiction, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
54525,Secrets in the Walls,2010,tt1559359,"Horror, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
54928,Project Viper,2002,tt0310024,"Horror, Science Fiction",tvMovie,0,1,tv_horror_tmdb_or_imdb
55186,Fatal Error,,tt0171689,,tvMovie,0,1,tv_horror_tmdb_or_imdb
55248,Behemoth,2011,tt1566486,"Horror, Science Fiction",tvMovie,0,1,tv_horror_tmdb_or_imdb
55300,Are You in the House Alone?,,tt0077174,,tvMovie,0,1,tv_horror_tmdb_or_imdb
55377,Amityville: The Evil Escapes,1989,tt0096808,Horror,tvMovie,0,1,tv_horror_tmdb_or_imdb
55401,The Deliberate Stranger,1986,tt0090925,"Crime, Drama, Horror, Thriller, TV Movie",tvMiniSeries,1,1,tv_horror_tmdb_or_imdb
56527,Skeleton Man,2004,tt0372832,"Action, Horror",tvMovie,0,1,tv_horror_tmdb_or_imdb
56787,Bad Ronald,1974,tt0071186,"Drama, Horror, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
57173,Monsterwolf,2010,tt1535608,"Fantasy, Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
