id,title,year,file_path,iso_639_1,vote_average,vote_count,width,height,is_primary
651448,Darkslide,2016,/tBrm4WCJu2Pybdw63qi2hoQtBSl.jpg,en,3.334,1,675,1000,1
210734,Battlefield Death Tales,2012,/z453yQUIEXI5mG695ZfeEMkDZnx.jpg,,0.0,0,1000,1500,1
81489,Carnivorous,2007,/uJw5Tb7oCoBoalWKfvTxwt9zVZE.jpg,,0.0,0,600,900,1
26208,Credo,2008,/zujrGZqzrXe8DVCZyig07O03Edz.jpg,en,3.334,1,1000,1500,1
26208,Credo,2008,/uyBYb0e9cBQv4uJVIAIqYjIJ2qM.jpg,en,1.75,2,1600,2400,0
492535,Darkness Wakes,2017,/2FX9OYyzASYXmwzyKyd7sHDVtpZ.jpg,en,3.334,1,960,1440,1
492535,Darkness Wakes,2017,/cEnon64FdrtoFzhA3VfSBvCwvMU.jpg,en,1.75,2,1000,1500,0
492535,Darkness Wakes,2017,/ASqBv56EQBndrW1xW9jLT6bQdU.jpg,en,0.0,0,1920,2560,0
492535,Darkness Wakes,2017,/iGJoXcISd39AgKpJbGvM44teva6.jpg,en,0.0,0,708,1000,0
492535,Darkness Wakes,2017,/92zuEUzJEvuPTnGCY0BGuXyYxb5.jpg,en,0.0,0,560,789,0
359056,Primordial,2015,/bwXwUdpBsB5rav8ij0cMDsjppNx.jpg,en,3.334,1,680,1000,1
359056,Primordial,2015,/2QKQUDFtL50Cj9IwUu6HnPr7NAU.jpg,en,1.75,2,1400,2100,0
359056,Primordial,2015,/sXNzdX5OrJ7sCbjwKbVu9oJhtLq.jpg,en,0.0,0,1400,2100,0
359056,Primordial,2015,/uJSc7YPNVWAdiGMs8dETSbrWtDe.jpg,,0.0,0,1536,2048,0
392051,The Damned Thing,2014,/vbvnKjnH4uDvYcnhe9yb6BOnAXd.jpg,en,0.0,0,1670,2506,0
392051,The Damned Thing,2014,/sBFrsu3rkozZvJTdJMwtbCr0VM2.jpg,en,0.0,0,500,750,1
95008,Scream... and Die!,1973,/pKdkR0xy0BW9yphKRCzwimWHWUE.jpg,en,3.334,2,667,1000,0
95008,Scream... and Die!,1973,/46XK9HCl6n9P6QEbp6MqIAgEzOr.jpg,en,3.334,1,1000,1500,0
95008,Scream... and Die!,1973,/aio85fbghDTwnL0NUrWGmsFKp9n.jpg,en,1.75,4,2000,3000,0
95008,Scream... and Die!,1973,/lASZNs0GbkObV1ErUhzwgfIpNj9.jpg,en,1.75,4,500,750,0
95008,Scream... and Die!,1973,/4hZYGJrcmwMNK48A0VQWKI4W4zC.jpg,en,1.75,2,667,1000,0
95008,Scream... and Die!,1973,/aZfMEln7qMgVNFzLPJTDmf23ufP.jpg,en,1.222,3,703,1054,0
95008,Scream... and Die!,1973,/9E4Y81d58S06JDwkUyHJ3ykiGEV.jpg,en,1.222,3,500,750,0
95008,Scream... and Die!,1973,/34LrQxQMDUboPHwEuy2lTL6R8BQ.jpg,en,1.066,5,500,750,1
95008,Scream... and Die!,1973,/jjGioDq4wg3zTl74eCqr7BuDVgX.jpg,en,0.0,0,1098,1647,0
