id,title,year,vote_count,imdb_id
310535,Bloodscent,,0,tt0112535
317041,Dark Night of the Soul,,0,tt0451696
321473,The Evading,,0,tt1051221
325460,Do Not Disturb,,0,tt0206690
325609,Lisa's New Nightmares,,0,tt2041405
325612,Lisa's Nightmares 3,,0,tt2041407
325614,Lisa's Nighmares 4,,0,tt2041408
325615,Lisa's Nightmares 5,,0,tt2041409
332765,Reptoids Walk Among Us!,,0,tt1964806
336081,Cabaret Diabolique,,0,tt4319458
337527,The Diary of Alice Applebe,,0,tt2434154
341989,The Face at the Window,,0,tt0022870
348317,Flesh&Blood,,0,tt6235982
358550,Sam Hell,,0,tt1049410
360286,Shadow World: The Haunting of Mysti Delane,,0,tt4848314
362683,id 362683,,0,tt2308447
363310,S4,,0,tt1305908
366355,Dark Hearts,,0,tt4178166
373926,id 373926,,0,tt0443648
377603,The Horror Seasons,,0,tt0441635
384278,The Belly of the Beast,,0,tt5254458
396003,Grotesque Fantasies,,0,tt5447376
397558,One Last Sunset,,0,tt1560974
401620,id 401620,,0,tt1794998
404523,The 4th Life,,0,tt0481398
415484,Amy Goes to College,,0,tt2088679
415952,Demonica,,0,tt2290261
416219,"Post Mortem, America 2021",,0,tt1283935
418259,A Mother's Vengeance,,0,tt0296764
419758,Spectrauma,,0,tt1529570
431869,id 431869,,0,tt2404070
433926,Night of Horror,,0,tt2113726
434805,id 434805,,0,tt5931498
437625,id 437625,,0,tt1337016
441831,Love Scars,,0,tt6412094
444963,id 444963,,0,tt0347834
451811,Satanic Sluts: The Black Order Cometh,,0,tt1366942
500887,id 500887,,0,tt7909440
503654,id 503654,,0,tt8669180
506546,id 506546,,0,tt0381415
527219,id 527219,,0,tt5242128
532991,id 532991,,0,tt0406692
539024,id 539024,,0,tt6147792
559055,id 559055,,0,tt0226408
560771,id 560771,,0,tt1326755
569834,Darkness Waits,,0,tt0830209
580367,Faces of Schlock Vol. 2,,0,tt0484423
594535,id 594535,,0,tt0496310
599205,id 599205,,0,tt1757856
625537,Zerpes,,0,tt2910188
629382,id 629382,,0,tt0395357
636652,id 636652,,0,tt5311238
637159,id 637159,,0,tt2469978
637165,The Deep Dark Woods,,0,tt0451036
640772,Hate's Haunted Slay Ride,,0,tt1870421
651509,id 651509,,0,tt8638314
665040,A Woman in Love,,0,tt0153896
697609,id 697609,,0,tt5271436
729028,id 729028,,0,tt1934176
746929,id 746929,,0,tt0228718
759681,id 759681,,0,tt3521172
781330,id 781330,,0,tt8633640
805060,Banned from Television III,,0,tt0415569
823034,Schizophrenic,,0,tt0350093
846781,id 846781,,0,tt1313132
856368,id 856368,,0,tt1020869
870670,id 870670,,0,tt0211954
873343,Nightmares in the Makeup Chair,,0,tt6490716
886828,id 886828,,0,tt10847812
888117,X,,0,tt5235668
891282,The Creep,,0,tt1344376
922247,Fundamental,,0,tt2386229
926467,id 926467,,0,tt3557328
950125,Venus,,0,tt15676664
966342,Banned from Television: Prison Files,,0,tt0415570
977683,id 977683,,0,tt4211018
999697,id 999697,,0,tt3475160
1032223,id 1032223,,0,tt1935229
1039803,The Color Of Blood,,0,tt0930048
1040616,Boris Karloff:  The Rest of the Story,,0,tt18470106
1041150,id 1041150,,0,tt16267750
1043313,Insomnia,,0,tt3958022
1043675,The Making of a Horror Film,,0,tt0479094
1043893,id 1043893,,0,tt8353406
1045244,Sisterhood of the Shewolf,,0,tt0938334
1051646,id 1051646,,0,tt14102642
1061261,Home Is Where I Lay,,0,tt13842412
1062962,Torment,,0,tt20183562
1063830,id 1063830,,0,tt14575374
1066113,id 1066113,,0,tt6041102
1071677,Novice,,0,tt7285616
1075618,id 1075618,,0,tt0298103
1084890,Don't Let It In,,0,tt21209890
1088143,id 1088143,,0,tt4807936
1100270,id 1100270,,0,tt1309182
1101700,The Hollow World,,0,tt9226494
1102615,Coronapocalypse,,0,tt14403702
1103233,id 1103233,,0,tt4523826
1113604,id 1113604,,0,tt16059478
1129154,id 1129154,,0,tt1023348
1130450,id 1130450,,0,tt15535598
1130453,id 1130453,,0,tt21406906
1132640,id 1132640,,0,tt2132514
1133651,Twelve,,0,tt0287059
1141690,Alchemy,,0,tt0426395
1141692,id 1141692,,0,tt0385574
1150192,*69,,0,tt1331087
1151186,id 1151186,,0,tt0367835
1153770,Hack The Living Dead,,0,tt29010446
1177116,id 1177116,,0,tt8408152
1178705,id 1178705,,0,tt0988109
1196108,Bhoo,,0,tt6442444
1196365,id 1196365,,0,tt29008685
1208557,id 1208557,,0,tt16305192
1209628,id 1209628,,0,tt30177009
1213256,id 1213256,,0,tt0375743
1214057,Survive!,,0,tt0350175
1214104,id 1214104,,0,tt0142146
1214920,The Cosgrove Legend,,0,tt2571184
1214968,id 1214968,,0,tt2217816
1215820,id 1215820,,0,tt0471181
1215826,id 1215826,,0,tt0471182
1215830,id 1215830,,0,tt0459097
1215832,Glenville: Hell's Homecoming,,0,tt0453484
1215842,id 1215842,,0,tt1478390
1215858,id 1215858,,0,tt1455052
1215896,id 1215896,,0,tt2261514
1220735,id 1220735,,0,tt2349805
1221014,Fucked in the Face,,0,tt0304049
1221175,id 1221175,,0,tt0807714
1224492,id 1224492,,0,tt30316956
1224617,id 1224617,,0,tt3485704
1225154,Cajun Fried Werewolf,,0,tt11552264
1229100,id 1229100,,0,tt9872038
1236413,Der Hund von Baskerville,,0,tt0271551
1236490,id 1236490,,0,tt16281854
1237203,id 1237203,,0,tt5679566
1238091,id 1238091,,0,tt19498462
1238559,Golden Pen,,0,tt30217924
1243533,id 1243533,,0,tt2649982
1249018,Minus Distance,,0,tt2396716
