id,title,year,source,stem,file_path,rek_labels,rek_top,rek_top_conf,rek_weapon,rek_animal,rek_person,rek_water,rek_fire,rek_silhouette,rek_n_boxes,rek_bright,rek_sharp,rek_contrast,rek_colors,latency_s,error
566512,Crucible of the Vampire,2019,variant,2P1INRAN2IewKpV6zk7gppGvwod,posters_multi/566512/2P1INRAN2IewKpV6zk7gppGvwod.jpg,Book:1.00|Publication:1.00|Novel:0.99|Adult:0.99|Male:0.99|Man:0.99|Person:0.99|Advertisement:0.81|Poster:0.78|Clothing:0.53,Book,1.0,0.5036,0.0,0.9935,0.0,0.0,0.0,6,43.52,80.55,84.62,#000000:34.1|#800000:16.7|#dc143c:13.7|#2f4f4f:11.5|#c0c0c0:10.2,0.473,
566512,Crucible of the Vampire,2019,variant,wU6zyDsoOsyLusnHI54QazHog5X,posters_multi/566512/wU6zyDsoOsyLusnHI54QazHog5X.jpg,Book:1.00|Publication:1.00|Novel:0.99|Adult:0.99|Male:0.99|Man:0.99|Person:0.99|Advertisement:0.85|Poster:0.77|Disk:0.52,Book,1.0,0.0,0.5019,0.9893,0.0,0.0,0.0,5,43.49,79.98,83.98,#000000:49.7|#dc143c:16.1|#800000:12.3|#c0c0c0:9.3|#bc8f8f:6.9,0.662,
566805,Mad Heidi,2022,variant,SixfkF56wHKVTwhMcEP7JLGLRq,posters_multi/566805/SixfkF56wHKVTwhMcEP7JLGLRq.jpg,Book:1.00|Publication:1.00|Advertisement:0.99|Poster:0.99|Child:0.97|Female:0.97|Girl:0.97|Person:0.97|Comics:0.86|Novel:0.81,Book,1.0,0.5738,0.0,0.9661,0.0,0.0,0.0,5,54.98,80.36,78.39,#2f4f4f:43.4|#a0522d:15.1|#8b4513:14.1|#f4a460:10.3|#000000:4.6,0.761,
566805,Mad Heidi,2022,variant,tVooOemwuIuOYsBKgHolI9zC81X,posters_multi/566805/tVooOemwuIuOYsBKgHolI9zC81X.jpg,Advertisement:1.00|Poster:1.00|Adult:0.99|Male:0.99|Man:0.99|Person:0.99|Bride:0.91|Female:0.91|Woman:0.91|Gun:0.84,Advertisement,1.0,0.8374,0.0,0.9851,0.0,0.0,0.0,31,43.41,88.15,92.84,#000000:43.7|#800000:21.7|#ffdead:9.7|#a0522d:9.2|#8b4513:6.3,1.4,
566806,Don't Scream: It's Only a Movie!,1985,variant,a2JMYDR1XyulgkmbgtsWUM3XGo6,posters_multi/566806/a2JMYDR1XyulgkmbgtsWUM3XGo6.jpg,Book:1.00|Publication:1.00|Head:0.98|Person:0.98|Face:0.97|Adult:0.96|Female:0.96|Woman:0.96|Photography:0.93|Portrait:0.93,Book,0.9999,0.0,0.0,0.9817,0.0,0.0,0.0,4,57.57,39.02,52.3,#a52a2a:82.1|#000000:9.6|#bdb76b:3.0|#556b2f:2.5|#e9967a:1.1,0.533,
566806,Don't Scream: It's Only a Movie!,1985,variant,ybDb3ZHnppbIRMgn8qhpu4OYpi,posters_multi/566806/ybDb3ZHnppbIRMgn8qhpu4OYpi.jpg,Book:1.00|Publication:1.00|Head:0.97|Person:0.97|Face:0.95|Adult:0.90|Female:0.90|Woman:0.90|Scoreboard:0.90|Photography:0.84,Book,0.9985,0.0,0.0,0.9686,0.0,0.0,0.0,5,21.92,72.5,80.0,#000000:56.6|#800000:26.3|#a52a2a:5.8|#bdb76b:4.7|#2f4f4f:3.6,0.578,
567212,The Killer Clown Meets the Candy Man,2019,variant,qXzmJya9fVcMH2gsXm5PyhbvEUz,posters_multi/567212/qXzmJya9fVcMH2gsXm5PyhbvEUz.jpg,Advertisement:1.00|Poster:1.00|Adult:0.96|Bride:0.96|Female:0.96|Person:0.96|Woman:0.96|Male:0.95|Man:0.95|Face:0.89,Advertisement,1.0,0.0,0.0,0.9606,0.0,0.0,0.0,14,51.36,92.31,90.37,#000000:44.2|#ffb6c1:12.7|#8b0000:10.4|#2f4f4f:8.7|#cd5c5c:7.4,0.596,
567212,The Killer Clown Meets the Candy Man,2019,variant,wHpCGjxQAjlG6kzRqy1sXLrXz8e,posters_multi/567212/wHpCGjxQAjlG6kzRqy1sXLrXz8e.jpg,Advertisement:1.00|Poster:1.00|Adult:1.00|Female:1.00|Person:1.00|Woman:1.00|Photography:0.99|Portrait:0.99|People:0.99|Male:0.96,Advertisement,0.9972,0.0,0.0,0.9951,0.0,0.0,0.0,40,58.04,84.36,83.14,#2f4f4f:32.8|#a0522d:19.2|#000000:18.8|#c0c0c0:10.9|#8b4513:7.9,0.846,
567331,The Killing House,2018,variant,3nYNWeluTlZ7MER9LSdxbYH0Kts,posters_multi/567331/3nYNWeluTlZ7MER9LSdxbYH0Kts.jpg,Advertisement:1.00|Poster:1.00|Adult:0.99|Bride:0.99|Female:0.99|Person:0.99|Woman:0.99|Toothbrush:0.84|Face:0.83|Head:0.83,Advertisement,1.0,0.5195,0.0,0.9904,0.0,0.0,0.0,10,66.85,70.91,85.34,#000000:26.7|#808080:17.2|#708090:13.7|#778899:13.7|#696969:11.3,0.929,
567331,The Killing House,2018,primary,567331.jpg,posters/567331.jpg,Book:1.00|Publication:1.00|Nature:1.00|Night:1.00|Outdoors:1.00|Advertisement:0.99|Astronomy:0.97|Moon:0.97|Poster:0.96|Food:0.91,Book,0.9992,0.0,0.0,0.0,0.0,0.0,0.0,1,28.26,79.62,85.53,#000000:57.8|#2f4f4f:18.9|#c0c0c0:7.7|#a0522d:5.2|#800000:4.6,0.507,
567331,The Killing House,2018,variant,6R0fGcGwlkU6ujNeWNXStyFLMUy,posters_multi/567331/6R0fGcGwlkU6ujNeWNXStyFLMUy.jpg,Book:1.00|Publication:1.00|Nature:1.00|Night:1.00|Outdoors:1.00|Advertisement:0.99|Astronomy:0.97|Moon:0.97|Poster:0.96|Food:0.91,Book,0.9992,0.0,0.0,0.0,0.0,0.0,0.0,1,28.26,79.62,85.53,#000000:57.8|#2f4f4f:18.9|#c0c0c0:7.7|#a0522d:5.2|#800000:4.6,0.527,
567609,Ready or Not,2019,variant,oJD9KQFoObZmxAS1je56SIFVNJt,posters_multi/567609/oJD9KQFoObZmxAS1je56SIFVNJt.jpg,Dress:1.00|Adult:0.98|Female:0.98|Person:0.98|Woman:0.98|Long Sleeve:0.94|Advertisement:0.93|Publication:0.93|Shoe:0.90|Book:0.83,Dress,0.9957,0.0,0.0,0.9772,0.0,0.0,0.0,6,63.5,83.93,96.1,#dcdcdc:32.6|#8b0000:26.0|#800000:16.5|#c0c0c0:7.2|#2f4f4f:5.8,0.479,
567609,Ready or Not,2019,variant,vOl6shtL0wknjaIs6JdKCpcHvg8,posters_multi/567609/vOl6shtL0wknjaIs6JdKCpcHvg8.jpg,Advertisement:1.00|Poster:1.00|Adult:0.98|Male:0.98|Man:0.98|Person:0.98|Art:0.87|Collage:0.87|Photography:0.87|Portrait:0.87,Advertisement,0.9995,0.0,0.0,0.9816,0.0,0.0,0.0,5,43.73,86.31,85.81,#000000:43.3|#2f4f4f:17.5|#d2b48c:8.3|#a0522d:8.1|#8b4513:7.4,0.622,
567898,Kill Teaser,2017,variant,f9gxdQJ4wtcQfRH8mEbcvWoK5JV,posters_multi/567898/f9gxdQJ4wtcQfRH8mEbcvWoK5JV.jpg,Advertisement:1.00|Poster:1.00|Adult:0.99|Female:0.99|Person:0.99|Woman:0.99|Blackboard:0.95|Male:0.92|Man:0.92|Art:0.67,Advertisement,1.0,0.0,0.0,0.9851,0.0,0.0,0.0,13,12.54,82.94,75.49,#000000:73.6|#2f4f4f:16.5|#808080:6.0|#800000:2.0|#8b4513:1.3,0.506,
567898,Kill Teaser,2017,variant,r9jmhwln8sLCN8n14aSnGnYOWsk,posters_multi/567898/r9jmhwln8sLCN8n14aSnGnYOWsk.jpg,Advertisement:1.00|Poster:1.00|Helmet:0.97|Adult:0.97|Male:0.97|Man:0.97|Person:0.97|Baseball Cap:0.90|Cap:0.90|Hat:0.90,Advertisement,0.999,0.0,0.0,0.9701,0.0,0.0,0.0,9,44.1,78.83,86.89,#000000:41.5|#2f4f4f:13.9|#800000:11.8|#bdb76b:8.3|#8b4513:8.2,0.768,
568123,Virus of the Dead,2018,variant,tU7akbR6kOxYFoNNBsP51kDHhp7,posters_multi/568123/tU7akbR6kOxYFoNNBsP51kDHhp7.jpg,Adult:0.98|Female:0.98|Person:0.98|Woman:0.98|Book:0.95|Publication:0.95|Bride:0.94|Male:0.93|Man:0.93|Advertisement:0.87,Adult,0.9838,0.0,0.0,0.9838,0.0,0.0,0.0,15,41.44,80.69,79.7,#000000:41.1|#2f4f4f:22.7|#800000:11.7|#b22222:9.0|#a9a9a9:6.8,0.517,
