id,title,year,vote_count,imdb_id
227623,None Left Standing,2002,0,tt1419944
251559,The Black Magic,2002,0,tt0338791
253453,Hannah House,2002,0,tt0447642
261090,CanniBallistic!,2002,0,tt0353269
264249,In the Little Mansion,2002,0,tt0478770
278665,The Feral Man,2002,0,tt0382692
291567,Curse of Mardi Gras,2002,0,tt0311984
294310,Essence of Echoes,2002,0,tt0295244
297480,Singsing Ni Lola,2002,0,tt0338436
385459,Until Death,2002,0,tt0293020
415888,HorrorTales.666,2002,0,tt0365343
421779,Sentinels of Darkness,2002,0,tt0318052
452066,Silo Killer,2002,0,tt0335595
508827,Summer's End: The Legend of Samhain,2002,0,tt0844345
527612,Dead Guys,2002,0,tt14356870
569329,Coffins of Light,2002,0,tt0461465
574492,Evil,2002,0,tt0352330
576358,The Stoneman,2002,0,tt0297411
577905,Bites: The Werewolf Chronicles,2002,0,tt0801331
602777,Lord of the Vampires,2002,0,tt0314328
785885,‘Til Death Do Us Part,2002,0,tt0371499
837382,Night Terror,2002,0,tt0323405
859839,Daddy Cool,2002,0,tt0377722
973480,Dracula Vs Frankenstein,2002,0,tt11790094
28181,Evil in the Bayou,2003,0,tt0322209
29505,Expendable,2003,0,tt0387208
82802,Legend of the Phantom Rider,2003,0,tt0210223
213766,This Darkness: The Vampire Virus,2003,0,tt0413371
213775,Dr. Shock's Tales of Terror,2003,0,tt0818485
227858,Terror at Baxter U,2003,0,tt0828159
253999,Clearwater,2003,0,tt9641790
305805,Malefic,2003,0,tt0384308
317793,The Alien Conspiracy: Grey Skies,2003,0,tt0386275
338394,Jack and Jill,2003,0,tt1340586
364422,Abomination: The Evilmaker II,2003,0,tt0349063
403159,Hellbilly,2003,0,tt4331640
448939,Ghost Gate,2003,0,tt1764332
453659,Scary Tales: The Return of Mr. Longfellow,2003,0,tt0316551
459898,Daddy,2003,0,tt0349310
479867,Nightwalkers,2003,0,tt0480079
480299,Face of Evil,2003,0,tt3666794
488754,Addiction,2003,0,tt0380167
556515,Phobias,2003,0,tt0353879
579089,Beyond the Lost World: The Alien Conspiracy III,2003,0,tt0259213
579535,Monstersdotcom,2003,0,tt0393494
617638,Who Wants To Be A Vampire Bride?,2003,0,tt43502419
642287,Blood Rites,2003,0,tt3821074
664617,Raising Hell,2003,0,tt0429020
848839,Cannibal Hillbillies,2003,0,tt0398829
960788,Banned! in America VI,2003,0,tt5897402
59093,Resident Demon,2004,0,tt0392331
59546,The Legend of Diablo,2004,0,tt0363565
74715,Dark Queen,2004,0,tt0372851
82210,The Tenement,2004,0,tt0328528
88559,Haunted From Within,2004,0,tt0426580
132035,Horrific,2004,0,tt7631398
211676,Demon Slaughter,2004,0,tt1300575
227670,Black Cat,2004,0,tt0819870
262423,Bloodline,2004,0,tt0488967
288500,Vampire Boulevard,2004,0,tt0396916
290623,The Adventures Of Young Van Helsing - Quest For The Lost Scepter,2004,0,tt0406514
310917,Realms of Blood,2004,0,tt0392703
421267,Death 4 Told,2004,0,tt0362544
478818,Snuff TV,2004,0,tt5905334
488748,Jesus and Her Gospel of Yes,2004,0,tt1416731
489456,Preylien: Alien Predators,2004,0,tt0491801
521358,Don't Turn Around,2004,0,tt34378813
555878,Ratstar,2004,0,tt1990308
640960,Pizza Man Vs. the Dude,2004,0,tt0419062
663924,Killer Shrimps,2004,0,tt0853189
705283,Jelly Dolly,2004,0,tt0415898
715181,Bloodlust,2004,0,tt0477416
858856,Lake Evermore,2004,0,tt1802170
923672,Sinners and Saints,2004,0,tt0425454
974706,The Inner Circle,2004,0,tt18115802
74021,Desperate Souls,2005,0,tt0478856
145650,The Evil One,2005,0,tt0430066
197011,Eyes Of The Chameleon,2005,0,tt0452617
211682,Catholic Ghoulgirls,2005,0,tt0400410
227841,Siege of Evil,2005,0,tt3141494
239722,Infestation,2005,0,tt0480540
277579,The Horror Within,2005,0,tt0465497
289476,Kill Me Tomorrow,2005,0,tt0275455
330990,The Champagne Club,2005,0,tt0315376
352707,Possessed,2005,0,tt4909266
367797,Silver Night,2005,0,tt0438431
390599,Tower of Blood,2005,0,tt0450178
393010,The Bite,2005,0,tt0835472
393927,Delirium,2005,0,tt0471650
394546,The Orb,2005,0,tt0484873
424079,Fear of the Dark,2005,0,tt3331702
439772,Killers by Nature,2005,0,tt0463331
448811,Manhater,2005,0,tt0473059
449445,Red Midnight,2005,0,tt0459525
466316,Creepies 2: Las Vegas Attack,2005,0,tt0462238
478692,Knight of the Living Dead,2005,0,tt0814175
478968,Beast,2005,0,tt0397920
478974,"Tales from the Grave, Volume 2: Happy Holidays",2005,0,tt0439312
480289,Woods of Evil,2005,0,tt0435779
486453,Heebie Jeebies,2005,0,tt0758037
521360,Angus Valley Farms,2005,0,tt5137256
543203,12:00 AM,2005,0,tt1318805
605587,Buzz Saw,2005,0,tt0447610
607967,Severed Ties,2005,0,tt13422584
642055,Stage Fright,2005,0,tt0406235
642061,Serial Rabbit,2005,0,tt1199525
731653,Radiant,2005,0,tt0472167
787277,Missing,2005,0,tt11483450
862065,The Pool 2,2005,0,tt4799686
866027,The Sins of Government,2005,0,tt0468119
939811,Por qué lloran las Campanas,2005,0,tt0485743
953211,The Jersey Devil,2005,0,tt0419857
979728,Secrets of the Sisterhood,2005,0,tt2244890
1022024,Red Like Blood,2005,0,tt1139125
27289,The Legend Trip,2006,0,tt0482537
27479,Wedding Slashers,2006,0,tt0875630
33876,Death Clique,2006,0,tt0453460
36794,Mutation,2006,0,tt0498369
57061,Legion : The Final Exorcism,2006,0,tt0810811
69235,Safety in Numbers,2006,0,tt0460556
96446,Human Behavior,2006,0,tt1078581
156969,TxT,2006,0,tt0877721
167036,Modern Love,2006,0,tt0808380
211678,The River: Legend of La Llorona,2006,0,tt0804525
227608,Inexchange,2006,0,tt0448002
227864,The Traveler,2006,0,tt0829302
270595,1st Bite,2006,0,tt0477640
273786,Exit 38,2006,0,tt0891301
273923,Prison of the Psychotic Damned,2006,0,tt0780591
274513,House of Carnage,2006,0,tt1146157
275897,Fright Club,2006,0,tt0780520
278806,Edison Death Machine,2006,0,tt0816237
308135,Cryptid,2006,0,tt0832292
309554,Electric Zombies,2006,0,tt0965477
320442,Curse of Halloween,2006,0,tt3300340
339588,Vampire Chicks with Chainsaws,2006,0,tt0796258
354326,Savage Harvest 2: October Blood,2006,0,tt0352814
364424,The Innocent,2006,0,tt0876270
366067,Cycle,2006,0,tt0791296
367799,Flesh for the king,2006,0,tt0929752
443114,39: A Film by Carroll McKane,2006,0,tt0488929
448144,Madness,2006,0,tt0828054
451267,Possessed,2006,0,tt1676989
453387,The Damned,2006,0,tt0495822
501762,Integro,2006,0,tt1391472
505816,M.O.N.,2006,0,tt1709684
521482,Madman,2006,0,tt3426920
523852,Basketweave,2006,0,tt0939588
