imdb_id,primaryTitle,originalTitle,startYear,titleType,runtimeMinutes,genres
tt43681651,Heartbreak Bay,Heartbreak Bay,,movie,,Horror
tt43683935,The Thirteenth hour,The Thirteenth hour,,movie,120,Horror
tt43684432,Between the Devil and the Deep Blue Sea,Between the Devil and the Deep Blue Sea,,movie,,Horror
tt43684947,What lives in the Storm,What lives in the Storm,,movie,,"Horror,Thriller"
tt43684999,The Lurking,The Lurking,,movie,,Horror
tt43685179,Moon of the Witches,Moon of the Witches,,movie,,Horror
tt43685260,Lonely Boy,Lonely Boy,,movie,80,Horror
tt43685262,After Silence,After Silence,,movie,,Horror
tt43685411,Unsettled Soil,Unsettled Soil,,movie,90,Horror
tt43685498,Lettuce Kill,Lettuce Kill,,movie,,Horror
tt43686444,The Ballad of Silas and Peter,The Ballad of Silas and Peter,,movie,,"Horror,Thriller,Western"
tt43686586,Salt Saint Sue,Salt Saint Sue,,movie,,Horror
tt43686962,The Ranch,The Ranch,,movie,,Horror
tt43687140,Shelby,Shelby,,movie,,Horror
tt43687143,Persephone,Persephone,,movie,,Horror
tt43687633,The Listing,The Listing,,movie,80,Horror
tt43688277,Nightmare Fuel Anthology,Nightmare Fuel Anthology,,movie,,Horror
tt43690392,Untitled Horror Thriller,Untitled Horror Thriller,,movie,,"Comedy,Horror,Thriller"
tt43691264,The Shire Club,The Shire Club,,movie,,Horror
tt43694570,Maze,Maze,,movie,,Horror
tt43696800,Voidglitch,Voidglitch,,movie,,"Horror,Mystery"
tt43696968,Devil's Pass,Devil's Pass,,movie,,Horror
tt43697405,The Eye from Beyond,The Eye from Beyond,,movie,,"Horror,Sci-Fi"
tt43697532,Cherubim,Cherubim,,movie,,Horror
tt43698223,Aabhash,Aabhash,,movie,,Horror
tt43699732,Greetings from Maryland,Greetings from Maryland,,movie,,Horror
tt43699770,She Went Into the Woods,She Went Into the Woods,,movie,,Horror
tt43700230,Daemon,Daemon,,movie,,"Horror,Sci-Fi,Thriller"
tt43700405,The Texas Chain Saw Massacre (Rotoscoped Animated Version),The Texas Chain Saw Massacre (Rotoscoped Animated Version),,movie,,"Animation,Horror"
tt43700411,Halloween Party,Halloween Party,,movie,,Horror
tt43700482,Prince Paris,Prince Paris,,movie,90,Horror
tt43700532,Wake,Wake,,movie,,"Horror,Thriller"
tt43700966,The Sleep Study,The Sleep Study,,movie,,Horror
tt43701773,Captive,Captive,,movie,,Horror
tt43701921,Third Wheel,Third Wheel,,movie,,"Horror,Thriller"
tt43702865,Breeders,Breeders,,movie,,Horror
tt43702997,Backwoods,Backwoods,,movie,,Horror
tt43703275,All Legs,All Legs,,movie,90,Horror
tt43703435,Clairvoyant,Clairvoyant,,movie,100,Horror
tt43703626,The Cult of the Clown,The Cult of the Clown,,movie,,Horror
tt43703899,Psychosis,Psychosis,,movie,,Horror
tt43705244,My Valentines,My Valentines,,movie,,Horror
tt43706129,Kind with Danger,Kind with Danger,,movie,,"Action,Horror"
tt43706195,V2,V2,,movie,,"Horror,Thriller"
tt43706704,Dickfished,Dickfished,,movie,,"Comedy,Horror"
tt43707196,Mindfreak - The Movie,Mindfreak - The Movie,,movie,,Horror
