id,title,ocr_chars,overlap_max,ocr_lang,original_language
1489362,Caiman,305,0.0,et,en
828544,M - Fantasia Dramática,113,0.0,pt,pt
258193,Alien Abduction,466,0.0,en,en
1406356,,229,0.0,et,
60860,Zoo,54,0.0,en,ja
496371,Chudail Ka Badla,43,0.0,en,hi
477284,Mezarlık,338,0.0,en,tr
1605094,,298,0.0,en,
259904,Sacred,186,0.0,id,id
60667,Dead Rising: The Movie,45,0.0,en,ja
797502,Surprise,436,0.0,en,
169360,Nympha,508,0.0,it,de
1237327,Down,99,0.0,en,
334948,Insides,391,0.0,nl,en
448056,The Miracle Fighter,54,0.0,tl,th
1101819,Adalynn,492,0.0,en,en
304134,Zapatlela 2,201,0.0,en,mr
391915,Jinxed,378,0.0,nl,
724359,Mayabini,42,0.0,pl,en
1201840,,183,0.0,en,
1404325,Sunday Dysphoria,509,0.0,en,en
50038,D4,53,0.0,fr,en
1037635,,215,0.0,et,
27951,Ghostwood,468,0.0,en,en
722710,,71,0.0,en,
23793,Aa Intlo,61,0.0,id,te
193598,Satan's Bed,73,0.0,en,id
452342,Harim,258,0.0,en,en
31287,Eegah,443,0.0,en,en
1403256,ISKRIP,453,0.0,pl,en
1487261,Shockwave,96,0.0,en,en
1625430,Código Negro: Codex,45,0.0,en,en
709202,Meghasandesam,95,0.0,en,ml
28792,Man Eaters,317,0.0,de,en
1013928,Otajin,445,0.0,en,id
1383632,,143,0.0,en,
1166592,Neethraa,352,0.0,et,
1455870,Fear of the Mind,317,0.0,fi,
1212878,8ight Limbs,388,0.0,id,
616366,Dirt,369,0.0,ht,en
1651571,,156,0.0,en,
1041905,,104,0.0,en,
865549,Superstición,459,0.0,es,es
1619601,Oxpecker,439,0.0,fr,
1558705,Liminal,301,0.0,nl,en
1131320,1:30 AM,475,0.0,nl,en
648519,13 (Tigabelas),339,0.0,id,id
877813,Withdrawal,156,0.0,en,uk
213967,Venus Flytrap,77,0.0,en,en
1691674,Bloodsuckers,77,0.0,en,
479216,Kuluçka,501,0.0,tr,tr
725842,Старуха 2,134,0.0,en,
39869,Joshua,54,0.0,en,en
1579796,Dropbear,382,0.0,en,en
1567770,Threshold,205,0.0,no,
277046,Maintenance,54,0.0,en,
1318215,This Edible Ain't Shit,349,0.0,en,en
1056376,,92,0.0,en,
52379,Susuk Pocong,399,0.0,id,id
1392235,Orum,292,0.0,et,en
264239,Reflections,326,0.0,en,sh
736553,Desolación,225,0.0,es,es
35949,Jennifer's Shadow,83,0.0,en,en
1009047,Tech Savvy,115,0.0,en,
914308,Nightmare in Szechuan,50,0.0,en,zh
435515,Crush,384,0.0,en,en
1098491,,60,0.0,en,
805061,Hee-Soo,71,0.0,it,ko
653809,Evil Shit,335,0.0,en,de
1405031,,312,0.0,en,
230210,Kotsutsubo,148,0.0,en,ja
385926,O,191,0.0,en,en
796237,Agoraphobia,164,0.0,fr,en
653407,Limbless,173,0.0,de,de
420982,The Snake Man,67,0.0,en,km
1311970,#TalithaKoum,312,0.0,en,en
464929,Ghost Hospital,199,0.0,en,vi
738661,,64,0.0,en,
722261,Kissed,182,0.0,en,en
1187044,,156,0.0,en,
1570651,,82,0.0,en,
1045244,Sisterhood of the Shewolf,141,0.0,pt,
302689,Red Trail 90,314,0.0,en,en
318000,Lock,136,0.0,no,en
276692,Natural Selection,191,0.0,et,en
125752,,73,0.0,en,
785736,Hasfalmetszők,251,0.0,en,hu
1403447,,68,0.0,fr,
1255760,Catacombs,426,0.0,en,en
1047235,,116,0.0,it,
1402410,Shapes and Shadows,89,0.0,nl,en
1106372,Wakener,323,0.0,et,
900287,Delirium,389,0.0,es,es
851031,Procrastinar,469,0.0,es,es
1009140,Black Butterflies,74,0.0,en,en
552010,3 AM: Part 3,483,0.0,en,th
641550,Pusaka,326,0.0,en,ms
1654416,PREY,320,0.0,et,
1442106,Circle Circle Circle Circle,71,0.0,id,en
1321966,Shitter,53,0.0,nl,en
115905,Kaalo,322,0.0,en,hi
1051946,Do Us Part,114,0.0,en,
1500003,Anhedonia,354,0.0,en,en
1014421,(Dis)Satisfaction,340,0.0,fi,en
756830,Warm Blood,176,0.0,de,en
1712582,Next Door,186,0.0,tl,
1389295,,371,0.0,et,
1039442,,211,0.0,en,
498939,From The Woods,473,0.0,en,en
859417,"Lo que viví, Lo que vivo, Lo que viviré",44,0.0,en,es
370952,Jithan 2,320,0.0,en,ta
223281,The Unspeakable,121,0.0,en,en
756693,Bunuwirah,79,0.0,sv,en
1006757,Butts Motel,49,0.0,cs,en
236129,Pawnshop,285,0.0,en,th
1190128,Lesbian Psycho,466,0.0,ht,en
1613089,,369,0.0,en,
547177,Pari,206,0.0,en,ur
950711,Am I Evil,247,0.0,en,
322044,Evil Spirit,54,0.0,tl,en
1044442,,60,0.0,en,
1099679,Incubus,492,0.0,et,
221737,RoboCroc,318,0.0,en,en
83416,Kamillions,323,0.0,fi,en
590178,,442,0.0,et,
1588427,Sutures,45,0.0,en,en
708697,Unhinged,427,0.0,en,en
787465,,68,0.0,nl,
